代號,名稱,Year,Industry,Key,RPA,LN_RPA_Count,RPA_Count,Finance,KY,OS,Equity,NI,Price,BVLAG,MV,BV,ADJEBEI,RD,ADV,CAPEX
1217,愛之味,2021,M1200,12172021,0,0,0,0,0,494513,7397369,210361,9.82,6858474,0.708046376,1.078573601,0.171653199,0.007622979,0.133358528,0.037440107
1217,愛之味,2020,M1200,12172020,0,0,0,0,0,494513,6858474,223646,10.94,6439266,0.840153555,1.06510183,0.188749774,0.0065054,0.147512776,0.028147152
1217,愛之味,2019,M1200,12172019,0,0,0,0,0,494513,6439266,23601,7.16,6271960,0.564530558,1.026675234,0.159590304,0.006768538,0.149058827,0.030226118
1217,愛之味,2018,M1200,12172018,0,0,0,0,0,494513,6271960,-35217,6.7,6123799,0.541042758,1.024194295,0.156462516,0.006661061,0.155552297,0.073772996
1217,愛之味,2017,M1200,12172017,0,0,0,0,0,494513,6123799,-44018,7.36,6041375,0.602448231,1.013643252,0.157943183,0.007772568,0.157456705,0.040406199
1218,泰山,2022,M1200,12182022,0,0,0,0,0,499999,12567859,-285606,27.53,6991127,1.968920386,1.797687125,0.119633644,0,0.160486285,0.035963729
1218,泰山,2021,M1200,12182021,0,0,0,0,0,499999,6991127,581097,29.88,7031602,2.124689384,0.994243844,0.218549343,0,0.135908574,0.049952486
1218,泰山,2020,M1200,12182020,0,0,0,0,0,499999,7031602,831313,26.6,6605173,2.013569274,1.064559853,0.264276348,0,0.138418479,0.041469466
1218,泰山,2019,M1200,12182019,0,0,0,0,0,499999,6605173,568667,20.87,6402709,1.629775636,1.031621615,0.228702726,0,0.139886101,0.033275759
1218,泰山,2018,M1200,12182018,0,0,0,0,0,499999,6402709,458649,17.13,3821989,2.24097528,1.675229573,0.364253011,0,0.244250311,0.04067254
1218,泰山,2017,M1200,12182017,0,0,0,0,0,499999,3821989,265285,15.29,3476167,2.199257029,1.099483713,0.355262564,0,0.278947185,0.055201893
1219,福壽,2022,M1200,12192022,0,0,0,0,0,322014,4433806,307401,20.38,4474177,1.466782678,0.990976888,0.251862633,0.012640314,0.170516723,0.119065473
1219,福壽,2021,M1200,12192021,0,0,0,0,0,322014,4474177,295079,18.52,4443414,1.342143514,1.00692328,0.235360918,0.008101428,0.160851318,0.091673655
