Code,Key,Industry,YICounts,Year,Equity,Asset,PPE,NI_Ctd,NI_Ctd_1,NI,NI_1,EBITDA,EBITDA_1,OCF,S,AR,Asset_1,S_1,AR_1,S_2,EXP,PROD
1460,14602022,M1400,51,2022,7054714,14977520,5625211,21842,181871,38326,175886,1054146,1133932,337321,9807785,1203790,14607752,10006733,1964662,7343877,1598244,8542965
1463,14632022,M1400,51,2022,2321569,2825093,460491,68879,82450,91737,81085,133303,139498,141412,495932,84600,2741683,456564,86310,441609,71987,548796
1464,14642022,M1400,51,2022,5716917,18333178,4933403,406232,195922,382664,240305,1352963,995217,1874538,12277001,1800627,19131909,10475685,2008577,8594659,1633830,10181105
1465,14652022,M1400,51,2022,1684047,2002003,441594,96750,-95903,115231,-35263,126337,-70639,96366,611734,96741,1825244,441525,77146,425282,86377,553779
1466,14662022,M1400,51,2022,1595893,3487291,1786914,-66744,178200,-69823,188832,162670,420557,19799,2785426,365028,3684929,3570655,500383,2635433,289993,2678935
1467,14672022,M1400,51,2022,3218955,8656489,1936570,-41674,-42755,-7839,-69900,366171,392594,656485,6129220,753719,8618265,6637936,1294717,8598587,1270260,4583942
1468,14682022,M1400,51,2022,1227237,2629275,677635,35816,14018,-26897,-5948,96188,82427,298430,1412468,71902,3432779,1139750,72585,961757,122175,1238324
1470,14702022,M1400,51,2022,972984,1144833,400331,32843,65201,73955,66420,103238,135183,189179,845152,68802,1254881,894789,128657,630757,105941,605768
1471,14712022,M2328,205,2022,1585511,1736576,44169,-157299,-18538,-109973,-118289,-133713,4149,1445,237989,59855,1188370,355816,65943,1085366,150156,179097
1472,14722022,M2500,83,2022,776764,2761080,100512,3283,-5557,28817,-4299,71492,58473,165390,1169012,0,2425319,601943,41706,329104,115121,1060821
1473,14732022,M1400,51,2022,3538070,5176890,1053270,301032,-135104,343818,-135311,513555,23431,587511,7529845,1184600,5213244,5761476,1145551,5970540,983539,6164970
1474,14742022,M1400,51,2022,2136872,3882578,1492068,80569,141039,84183,133143,239721,305433,370187,3189020,501945,4262799,3503869,787572,2858477,347155,2666153
1475,14752022,M1400,51,2022,1009342,1281898,108,307487,82326,307487,83376,304672,83472,249359,1195744,390751,889252,478666,246815,168113,64904,917124
1476,14762022,M1400,51,2022,25141967,33363523,13627154,6790348,5148611,6791231,5146341,9403060,7041010,12318001,39736173,3800016,29278767,35917247,4877211,28175401,3328319,25019714
1477,14772022,M1400,51,2022,15445028,24429146,5227399,3540001,2678308,3545933,2626707,5349526,4019417,3714921,32082917,1198597,22222828,28930505,1160282,24924170,3824147,23633444
1503,15032022,M1500,94,2022,28688783,49381800,7080724,2122149,1909450,2143791,1816887,3523192,3243704,1023396,30757777,7661888,45195290,27689810,6888117,25684003,2985975,27923459
1504,15042022,M1500,94,2022,86318499,126603110,19131777,3992010,5502191,5144762,4233666,7429234,8157675,6377629,58315216,11391437,136612450,51248387,11202655,45823430,8110648,45773106
1506,15062022,M1500,94,2022,2400784,2822873,1118423,91915,35099,12916,73742,174168,156499,71177,1141618,251079,2432163,1064137,266804,855851,186138,953616
1512,15122022,M2200,34,2022,376637,2352972,427538,-184642,-153450,-92880,-152253,-38262,1777,-2440,775474,216097,1863571,1002270,227846,1188984,196642,813037
1513,15132022,M1500,94,2022,13365614,41652205,14330543,2466498,1971481,2374439,2007140,5925788,4623109,5471429,18546885,2412866,34259773,18027267,1570979,15390789,1893313,14664797
1514,15142022,M1500,94,2022,3919804,10083111,1536559,525880,368408,515272,380970,677198,492938,225040,7709152,3619678,8192043,5681629,3115895,5113892,791949,7222867
1515,15152022,M1500,94,2022,3509327,7753957,3119127,-299120,1055949,-279017,1107751,-12435,1605101,-1874042,4549308,778517,12521433,18366823,1758010,11374207,584437,3001989
1516,15162022,M9900,90,2022,450333,674436,44738,48521,61541,48521,61541,60913,69219,233320,1502111,296068,513558,1190598,313969,820184,16587,1426925
1517,15172022,M1500,94,2022,4166521,5426218,1197534,555205,494023,612630,392129,877178,772785,839380,5084564,1013972,5679622,4879953,1400417,3383919,406992,3890730
1519,15192022,M1500,94,2022,4265273,11700438,1976677,822304,287518,357486,288541,1146688,536418,837816,7750727,2142149,9922390,9020094,2661505,8471592,1158381,7636727
1521,15212022,M2200,34,2022,1793508,3311021,966643,88824,82524,88765,82567,282124,268619,443204,4746405,832280,3394463,4992142,784862,4797165,540121,4042617
1522,15222022,M2200,34,2022,9169705,26045578,8016711,1001861,236609,990906,214639,3108359,2135253,1378369,19207226,3452335,24054607,16576615,2780036,14446208,3297077,15425340
1524,15242022,M2200,34,2022,2526041,5431903,3149208,336445,62083,319654,37968,811743,456742,682062,2439452,432705,5403257,1963425,392735,1908786,273363,1924048
1525,15252022,M2200,34,2022,4619811,5609373,549636,269818,306767,269655,308138,395538,425237,-66667,1500265,295996,5323884,1275608,186128,1052991,102750,1470787
1526,15262022,M1500,94,2022,1430837,2904399,727502,386604,262947,385956,260107,581227,391591,269748,2197117,147261,2829038,1887529,423556,1246649,297859,1921196
1527,15272022,M1500,94,2022,4694099,5406694,879484,742053,467410,749530,465539,1061051,726971,1334347,3918677,526698,5131540,4484738,912127,3589313,365603,2589824
1528,15282022,M1500,94,2022,2498803,5559022,1012568,153924,218972,158017,3143,367330,427139,123936,3789118,949716,5101589,3587606,964711,3210946,1003902,2915725
1529,15292022,M1500,94,2022,1720233,2999128,701749,46434,112783,54531,105486,121462,175415,-73015,281520,67897,2547046,324446,198016,609148,44730,293172
1530,15302022,M1500,94,2022,3368195,6791798,1797473,349287,122033,358130,113461,603835,372029,221887,3100517,877092,6207280,3630956,791586,3093583,364775,2489978
1531,15312022,M1500,94,2022,3742282,4610206,974119,186461,171455,188568,168966,342054,319305,161575,2471056,775352,4883023,2946998,1018836,1609928,348327,2062574
1532,15322022,M1500,94,2022,16684890,53029395,10610646,988910,1684910,1000645,1695474,2327551,3043475,1222236,14630178,3823773,49972033,18938168,4073790,13125899,2242112,13376402
1533,15332022,M2200,34,2022,2940975,8010453,2271218,-66343,12876,-54674,3492,215061,239037,-390225,3365416,721600,7716585,2932537,722064,2866192,967996,2667248
1535,15352022,M1500,94,2022,3511039,6966460,310550,520519,403880,434929,382076,672533,541404,-17389,8844053,904307,6863041,8484613,799148,8836360,480109,8039264
1536,15362022,M2200,34,2022,8975660,22926311,13759127,629073,340643,630056,335013,1541176,1075096,-150905,7339165,2950489,21103619,6686364,2691475,5211042,1156625,6041740
1537,15372022,M1500,94,2022,4344816,5845641,742867,881575,620038,870736,608122,1323884,968111,854399,7318728,769595,5254878,5797748,699374,7119214,584201,6040875
1538,15382022,M1500,94,2022,61316,293814,19671,-27498,-135570,-30245,-135453,1328,-91830,-19339,285107,49023,312246,265553,41568,275762,80673,252669
1539,15392022,M1500,94,2022,1681797,2648548,1181533,391958,102757,277669,95662,542594,188083,552205,2500079,116203,3934638,3142643,828341,2293323,110787,1994083
1540,15402022,M1500,94,2022,1374338,1559314,305796,108136,-3624,124854,-14613,143149,3510,88476,473291,38080,1520339,360792,20543,311106,66127,323172
1541,15412022,M1500,94,2022,1875926,3611116,645831,272059,299261,271924,298828,495924,459008,1144939,4057447,896111,5195985,6202947,2396161,5271945,423713,3358945
1558,15582022,M1500,94,2022,8225201,12554781,3525829,625195,528343,563479,529640,1290415,1010212,1195062,7198245,2028943,7966074,7719932,1003194,6965819,1075881,5754337
