Key,Year,Trade,Industry,LGTA,RPA,RPA_Ctd,BM,LEV,OCF,MTB,Age,Age_Trade,Big4,GC,ESG,RD,ADV,YICounts
43032021,2021,OTC,M1300,14.0461952,0,0,0.645684297,0.247815337,0.050123783,1.548744494,50,24,1,0,47.52,0.020906849,0.025901369,25
43032020,2020,OTC,M1300,13.98166462,0,0,0.726848545,0.255395065,0.028462297,1.375802438,50,24,1,0,46.31,0.030282735,0.027967156,25
43032019,2019,OTC,M1300,14.01831833,0,0,0.778667085,0.189188439,0.027135039,1.284245885,50,24,1,0,45.83,0.025399423,0.024879234,25
43032018,2018,OTC,M1300,13.96128137,0,0,0.705954221,0.17092722,-0.208236273,1.416522446,50,24,1,0,42.95,0.032397308,0.02818728,24
43032017,2017,OTC,M1300,14.45684852,0,0,2.403376221,0.222929195,0.014278417,0.416081341,50,24,1,0,43.81,0.039696828,0.053040821,24
43042022,2022,OTC,M1300,13.21102972,0,0,0.610894301,0.615587216,-0.285285472,1.636944392,41,23,0,0,36.29,0.001120277,0.027471136,25
43042021,2021,OTC,M1300,13.13059143,0,0,0.905607262,0.47174048,0.036347695,1.104231428,41,23,0,0,37.45,0.001064346,0.041094711,25
43042020,2020,OTC,M1300,13.33853387,0,0,0.509972448,0.816410674,0.02736294,1.960890248,41,23,0,1,44.5,0.001287928,0.050073941,25
43042019,2019,OTC,M1300,13.23297409,0,0,0.820056371,0.726418135,0.000272167,1.219428365,41,23,1,1,50.75,0.001070785,0.047359974,25
43042018,2018,OTC,M1300,13.30800774,0,0,0.417098223,0.66666113,-0.04607498,2.397516807,41,23,1,0,49.46,0.001176011,0.044226895,24
43042017,2017,OTC,M1300,13.39743274,0,0,0.620388389,0.586377867,-0.04115532,1.611893481,41,23,1,0,52,0.004633659,0.065649455,24
43052022,2022,OTC,M1300,14.01748522,0,0,0.620243811,0.112804447,0.209746228,1.612269211,37,23,1,0,51.6,0.009366484,0.037483526,25
43052021,2021,OTC,M1300,14.00791445,0,0,0.709196493,0.14704577,0.094080814,1.410046454,37,23,1,0,56.98,0.007150184,0.031564489,25
43052020,2020,OTC,M1300,13.96806597,0,0,0.662636635,0.124952031,0.066849701,1.509122719,37,23,1,0,56.69,0.007231337,0.035318933,25
