公司代號,公司名稱,報告書內容涵蓋期間,中文版上傳日期,產業類別,Year,Key,BVE,LNAT,NIS,Industry,Price,RPA,LN_RPA_Count,RPA_Count,KY,Price9m,Price6m,Price12m,Finance
6202,盛群,108/01/01~108/12/31,109/09/29,,2019,62022019,18.04,15,4.08,M2324,45.98,0,0,0,0,52.7,51.46,59.32,0
6206,飛捷,108/01/01~108/12/31,110/03/26,,2019,62062019,32.84,16,5.06,M2325,46.72,0,0,0,0,51.04,55.39,52.04,0
6213,聯茂,108/01/01~108/12/31,109/12/04,,2019,62132019,29.46,17,8,M2328,109.82,0,0,0,0,104.66,121.34,117.43,0
6214,精誠,108/01/01~108/12/31,109/09/30,,2019,62142019,50.05,17,1.42,M2330,58.57,1,0.693147181,1,0,69.43,64.7,73.98,0
6215,和椿,108/01/01~108/12/31,109/08/21,,2019,62152019,14.36,15,0.6,M2331,9.24,0,0,0,0,13.13,12.38,14.24,0
6239,力成,108/01/01~108/12/31,109/06/23,,2019,62392019,70.46,18,9.48,M2324,68.08,0,0,0,0,71.5,84.8,78.63,0
6269,台郡,108/01/01~108/12/31,110/02/24,,2019,62692019,65.83,17,9.38,M2328,79.76,0,0,0,0,105.07,101.58,104.64,0
6277,宏正,108/01/01~108/12/31,109/07/17,,2019,62772019,36.24,16,5.95,M2325,58.71,0,0,0,0,65.97,66.73,69.45,0
6282,康舒,108/01/01~108/12/31,109/06/30,,2019,62822019,19.11,17,-2.39,M2328,14.84,0,0,0,0,20.9,17.15,25.26,0
6285,啟碁,108/01/01~108/12/31,109/07/01,,2019,62852019,41.41,17,3.75,M2327,44.4,0,0,0,0,67.34,54.67,68.49,0
6409,旭隼,108/01/01~108/12/31,109/07/02,,2019,64092019,58.58,16,25.64,M2331,556.76,0,0,0,0,930.42,744.11,1060.09,0
6426,統新,108/01/01~108/12/31,109/09/29,,2019,64262019,34.25,14,2.42,M2327,73.07,0,0,0,0,94.82,128.09,103.32,0
6442,光聖,108/01/01~108/12/31,109/06/29,,2019,64422019,28.21,15,-0.28,M2327,28.15,0,0,0,0,27.69,31.87,27.32,0
6464,台數科,108/01/01~108/12/31,109/09/15,,2019,64642019,53.42,17,5.68,M9900,86.63,0,0,0,0,115.47,98.84,95.54,0
6477,安集,108/01/01~108/12/31,109/11/16,,2019,64772019,19.96,15,2.19,M2326,16.03,0,0,0,0,34.05,21.21,65.22,0
6491,晶碩,108/01/01~108/12/31,109/09/29,,2019,64912019,57.91,15,6.99,M1722,90.88,0,0,0,0,187.84,162.73,263.16,0
6505,台塑化,108/01/01~108/12/31,109/06/03,,2019,65052019,35.06,20,3.85,M9700,74.25,0,0,0,0,75.38,83.39,94.04,0
6534,正瀚-創,108/01/01~108/12/31,109/07/29,,2019,65342019,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,0,#N/A,#N/A,#N/A,#N/A
6573,虹揚-KY,108/01/01~108/12/31,110/01/18,,2019,65732019,20.38,15,-2.67,M2324,13.97,0,0,0,1,15.3,17.15,15.1,0
6579,研揚,108/01/01~108/12/31,109/06/30,,2019,65792019,56,16,4.33,M2325,50.33,0,0,0,0,60.87,63.97,67.06,0
6581,鋼聯,108/01/01~108/12/31,109/09/11,,2019,65812019,30.9,15,3.63,M9900,42.36,0,0,0,0,57.27,52.8,65.17,0
6592,和潤企業,108/01/01~108/12/31,109/09/29,,2019,65922019,43.48,19,4.6,M9900,50.45,0,0,0,0,66.81,64.33,65.91,0
6668,中揚光,108/01/01~108/12/31,109/08/14,,2019,66682019,27.06,15,1.76,M2326,46.16,0,0,0,0,48.29,53.94,52.67,0
6669,緯穎,108/01/01~108/12/31,109/06/30,,2019,66692019,115.78,18,35.58,M2325,612.64,0,0,0,0,585.85,699.92,631.6,0
6689,伊雲谷,108/01/01~108/12/31,109/11/04,,2019,66892019,43.9,15,3.97,M2331,#N/A,0,0,0,0,#N/A,#N/A,#N/A,0
8021,尖點,108/01/01~108/12/31,109/06/19,,2019,80212019,31.83,16,1.46,M2331,13.45,0,0,0,0,18.23,17.99,23.18,0
8039,台虹,108/01/01~108/12/31,109/06/30,,2019,80392019,35.16,16,3.11,M2328,33.72,0,0,0,0,41.49,39.44,46.23,0
8046,南電,108/01/01~108/12/31,109/06/18,,2019,80462019,45.23,17,0.59,M2328,49.03,0,0,0,0,106.04,70.7,163.55,0
8105,凌巨,108/01/01~108/12/31,109/08/06,,2019,81052019,18.32,16,-1.22,M2326,7.81,0,0,0,0,9.8,9.13,11.63,0
8110,華東,108/01/01~108/12/31,109/06/30,,2019,81102019,23.09,17,-0.07,M2324,7.65,0,0,0,0,9.52,9.53,13.38,0
8150,南茂,108/01/01~108/12/31,109/06/30,,2019,81502019,27.02,17,2.2,M2324,20.63,0,0,0,0,23.38,26.21,28.13,0
