公司代號,公司名稱,報告書內容涵蓋期間,中文版上傳日期,產業類別
1304,台聚,109/01/01~109/12/31,110/07/02,塑膠工業
1305,華夏,109/01/01~109/12/31,110/06/30,塑膠工業
1308,亞聚,109/01/01~109/12/31,110/06/29,塑膠工業
1309,台達化,109/01/01~109/12/31,110/08/02,塑膠工業
1310,台苯,109/01/01~109/12/31,110/06/30,塑膠工業
1312,國喬,109/01/01~109/12/31,110/06/28,塑膠工業
1313,聯成,109/01/01~109/12/31,110/06/28,塑膠工業
1314,中石化,109/01/01~109/12/31,110/06/30,塑膠工業
1316,上曜,109/01/01~109/12/31,110/06/01,建材營造
1319,東陽,109/01/01~109/12/31,110/06/29,汽車工業
1323,永裕,109/01/01~109/12/31,110/09/08,塑膠工業
1326,台化,109/01/01~109/12/31,110/06/25,塑膠工業
1338,廣華-KY,109/01/01~109/12/31,110/09/30,汽車工業
1402,遠東新,109/01/01~109/12/31,110/06/30,紡織纖維
1409,新纖,109/01/01~109/12/31,110/06/25,紡織纖維
1413,宏洲,109/01/01~109/12/31,110/05/19,紡織纖維
1434,福懋,109/01/01~109/12/31,110/06/28,紡織纖維
1440,南紡,109/01/01~109/12/31,110/06/17,紡織纖維
1444,力麗,109/01/01~109/12/31,110/06/29,紡織纖維
1447,力鵬,109/01/01~109/12/31,110/06/29,紡織纖維
1455,集盛,109/01/01~109/12/31,110/06/24,紡織纖維
1457,宜進,109/01/01~109/12/31,110/05/19,紡織纖維
1460,宏遠,109/01/01~109/12/31,110/06/29,紡織纖維
1466,聚隆,109/01/01~109/12/31,110/12/17,紡織纖維
1467,南緯,109/01/01~109/12/31,110/09/30,紡織纖維
1473,台南,109/01/01~109/12/31,110/09/29,紡織纖維
1476,儒鴻,109/01/01~109/12/31,110/09/24,紡織纖維
1477,聚陽,109/01/01~109/12/31,110/09/10,紡織纖維
1503,士電,109/01/01~109/12/31,110/06/18,電機機械
1504,東元,109/01/01~109/12/31,110/08/13,電機機械
1525,江申,109/01/01~109/12/31,110/06/22,汽車工業
1531,高林股,109/01/01~109/12/31,110/11/17,電機機械
1532,勤美,109/01/01~109/12/31,110/06/29,電機機械
1535,中宇,109/01/01~109/12/31,110/07/23,電機機械
1536,和大,109/01/01~109/12/31,110/09/29,汽車工業
1558,伸興,109/01/01~109/12/31,110/08/12,電機機械
1582,信錦,109/01/01~109/12/31,110/09/30,電子零組件業
1590,亞德客-KY,109/01/01~109/12/31,110/12/15,電機機械
1598,岱宇,109/01/01~109/12/31,110/08/31,運動休閒
1605,華新,109/01/01~109/12/31,110/05/27,電器電纜
1608,華榮,109/01/01~109/12/31,110/06/21,電器電纜
1609,大亞,109/01/01~109/12/31,110/06/30,電器電纜
1701,中化,109/01/01~109/12/31,110/06/28,生技醫療業
1702,南僑,109/01/01~109/12/31,110/09/24,食品工業
1707,葡萄王,109/01/01~109/12/31,110/03/22,生技醫療業
1708,東鹼,109/01/01~109/12/31,110/06/29,化學工業
1709,和益,109/01/01~109/12/31,110/06/29,化學工業
1710,東聯,109/01/01~109/12/31,110/06/28,化學工業
1711,永光,109/01/01~109/12/31,110/06/18,化學工業
1712,興農,109/01/01~109/12/31,110/06/30,化學工業
1713,國化,109/01/01~109/12/31,110/08/18,化學工業
1714,和桐,109/01/01~109/12/31,110/06/30,化學工業
1717,長興,109/01/01~109/12/31,110/06/21,化學工業
1718,中纖,109/01/01~109/12/31,110/06/25,化學工業
1720,生達,109/01/01~109/12/31,110/09/30,生技醫療業
1721,三晃,109/01/01~109/12/31,110/05/21,化學工業
1722,台肥,109/01/01~109/12/31,110/06/30,化學工業
1723,中碳,109/01/01~109/12/31,110/06/29,化學工業
1725,元禎,109/01/01~109/12/31,110/06/17,化學工業
1726,永記,109/01/01~109/12/31,110/06/25,化學工業
1727,中華化,109/01/01~109/12/31,110/06/24,化學工業
1730,花仙子,109/01/01~109/12/31,110/06/30,化學工業
1732,毛寶,109/01/01~109/12/31,110/05/25,化學工業
1733,五鼎,109/01/01~109/12/31,110/09/08,生技醫療業
1735,日勝化,109/01/01~109/12/31,110/06/29,化學工業
1737,臺鹽,109/01/01~109/12/31,110/09/23,食品工業
1762,中化生,109/01/01~109/12/31,110/06/25,生技醫療業
1773,勝一,109/01/01~109/12/31,110/06/30,化學工業
1776,展宇,109/01/01~109/12/31,110/06/30,化學工業
1789,神隆,109/01/01~109/12/31,110/09/30,生技醫療業
1795,美時,109/01/01~109/12/31,110/06/30,生技醫療業
1802,台玻,109/01/01~109/12/31,110/10/01,玻璃陶瓷
1904,正隆,109/01/01~109/12/31,110/06/23,造紙工業
1905,華紙,109/01/01~109/12/31,110/06/28,造紙工業
1907,永豐餘,109/01/01~109/12/31,110/06/28,造紙工業
1909,榮成,109/01/01~109/12/31,110/07/12,造紙工業
2002,中鋼,109/01/01~109/12/31,110/06/30,鋼鐵工業
2006,東和鋼鐵,109/01/01~109/12/31,110/06/29,鋼鐵工業
2007,燁興,109/01/01~109/12/31,110/05/05,鋼鐵工業
2010,春源,109/01/01~109/12/31,110/06/25,鋼鐵工業
2013,中鋼構,109/01/01~109/12/31,110/09/28,鋼鐵工業
2014,中鴻,109/01/01~109/12/31,110/06/28,鋼鐵工業
2015,豐興,109/01/01~109/12/31,110/06/30,鋼鐵工業
2017,官田鋼,109/01/01~109/12/31,110/07/20,鋼鐵工業
2023,燁輝,109/01/01~109/12/31,110/06/21,鋼鐵工業
2027,大成鋼,109/01/01~109/12/31,110/06/22,鋼鐵工業
2031,新光鋼,109/01/01~109/12/31,110/08/26,鋼鐵工業
2049,上銀,109/01/01~109/12/31,110/06/30,電機機械
2059,川湖,109/01/01~109/12/31,110/08/13,電子零組件業
2062,橋椿,109/01/01~109/12/31,110/09/30,居家生活
2101,南港,109/01/01~109/12/31,110/06/30,橡膠工業
2102,泰豐,109/01/01~109/08/31,110/09/30,橡膠工業
2103,台橡,109/01/01~109/12/31,110/06/22,橡膠工業
2104,國際中橡,109/01/01~109/12/31,110/08/02,橡膠工業
2105,正新,109/01/01~109/12/31,110/06/22,橡膠工業
2106,建大,109/01/01~109/12/31,110/06/15,橡膠工業
2108,南帝,109/01/01~109/12/31,110/09/29,橡膠工業
2201,裕隆,109/01/01~109/12/31,110/06/30,汽車工業
2204,中華,109/01/01~109/12/31,110/06/30,汽車工業
2206,三陽工業,109/01/01~109/12/31,110/06/30,汽車工業
2207,和泰車,109/01/01~109/12/31,110/06/30,汽車工業
2208,台船,109/01/01~109/12/31,110/06/29,航運業
2227,裕日車,109/01/01~109/12/31,110/06/30,汽車工業
2301,光寶科,109/01/01~109/12/31,110/06/28,電腦及週邊設備業
2303,聯電,109/01/01~109/12/31,110/06/30,半導體業
2308,台達電,109/01/01~109/12/31,110/08/31,電子零組件業
2312,金寶,109/01/01~109/12/31,110/06/29,其他電子業
2313,華通,109/01/01~109/12/31,110/06/23,電子零組件業
2314,台揚,109/01/01~109/12/31,110/06/21,通信網路業
2317,鴻海,109/01/01~109/12/31,110/06/30,其他電子業
2323,中環,109/01/01~109/12/31,110/06/30,光電業
2324,仁寶,109/01/01~109/12/31,110/06/30,電腦及週邊設備業
2327,國巨,109/01/01~109/12/31,110/09/30,電子零組件業
2328,廣宇,109/01/01~109/12/31,110/06/28,電子零組件業
2329,華泰,109/01/01~109/12/31,110/06/30,半導體業
