Year,Industry,Key,LGTA,MVE,RPA,RPA_Ctd,LN_RPA_Count,RPA_Count,Finance,KY,BM,ABSDA,DA,DA_ROA,ABCFO,ABPROD,ABEXP,LEV,OCF,MTB,Age,Age_Trade,Big4,GC,ESG,RD,ROA,ADJROA_I,ADJROA
2018,M1200,12012018,16.87152372,14276037.23,0,0,0,0,0,0,0.434325149,0.031514496,0.031514496,0.040239044,-0.046026503,-0.070258949,0.079788721,0.708114182,0.029750742,2.302422511,70,61,1,0,63.52,0.012653496,0.026446169,-0.033058672,-0.034223463
2017,M1200,12012017,17.30784707,10490685.99,0,0,0,0,0,0,0.744271252,0.021729866,0.021729866,0.028625573,-0.03236241,0.100954374,0.0684567,0.762407539,0.02992976,1.343596165,70,61,1,0,62.65,0.01382824,0.026379673,-0.033125168,-0.033397292
2022,M1200,12032022,16.11819225,10713600,0,0,0,0,0,0,0.613759987,0.09135691,0.09135691,0.08229324,-0.046849508,-0.034730977,0.005154963,0.342505614,0.018489214,1.62930139,64,59,0,0,60.84,0.001242335,0.092809999,0.033305158,0.042446741
2021,M1200,12032021,16.07547402,7591200,0,0,0,0,0,0,0.8235088,0.003608232,-0.003608232,-0.011942414,0.042036372,-0.066625665,0.008976009,0.347637455,0.100709202,1.214316107,64,59,0,0,64.1,0.001677128,0.074695642,0.015190801,0.016264538
2020,M1200,12032020,16.04891726,7550400,0,0,0,0,0,0,0.836032793,0.017467866,-0.017467866,-0.025279727,0.053168415,-0.073743663,0.010349135,0.323547875,0.116215201,1.19612533,64,59,0,0,62.84,0.0014051,0.073625367,0.014120526,0.013387043
2019,M1200,12032019,16.05887905,6237600,0,0,0,0,0,0,0.996468834,0.053856921,0.053856921,0.046594823,-0.016899001,-0.063895956,0.013447079,0.340524472,0.047228093,1.003543679,64,59,0,0,60.08,0.001401023,0.079499014,0.019994173,0.015906383
2018,M1200,12032018,16.01550962,5404800,0,0,0,0,0,0,1.08785672,0.021832294,0.021832294,0.013943486,0.015898543,0.008429311,0.004589209,0.348515818,0.080642504,0.919238703,64,59,0,0,62.4,0.001688365,0.076621352,0.017116511,0.015951719
2017,M1200,12032017,16.03387467,4987200,0,0,0,0,0,0,1.124693816,0.016941675,0.016941675,0.005690946,0.030570451,0.014751402,0.003837138,0.389806186,0.089647934,0.889130878,64,59,0,0,57,0.001266955,0.086785304,0.027280463,0.027008339
2022,M1200,12102022,17.94813823,46331035.26,0,0,0,0,0,0,0.623690488,0.030172711,0.030172711,0.039765596,-0.088116268,0.165223298,-0.031923753,0.536485066,0.037536684,1.603359389,63,45,1,0,57.86,0.001341488,0.050238304,-0.009266537,-0.000124954
2021,M1200,12102021,17.85385127,37486474.41,0,0,0,0,0,0,0.739989808,0.020713745,-0.020713745,-0.001110015,-0.051046472,0.1550681,-0.000862659,0.511042349,0.07547166,1.351369964,63,45,1,0,56.79,0.001363298,0.043758757,-0.015746084,-0.014672347
2020,M1200,12102020,17.76083363,41342129.83,0,0,0,0,0,0,0.67453593,0.01830493,-0.01830493,-0.024020108,0.023178212,0.030331876,0.002179739,0.460531744,0.125140628,1.482500717,63,45,1,0,61.69,0.00207138,0.086094768,0.026589927,0.025856444
2019,M1200,12102019,17.67203643,28021971.93,0,0,0,0,0,0,0.868051651,0.024792976,-0.024792976,-0.023638124,0.007439942,0.012497672,0.015862495,0.485747569,0.113828226,1.152005182,63,45,1,0,61.83,0.002134808,0.06993386,0.010429019,0.006341229
