,CFO,A1,A2,A3,ABCFO
4497,0.188566854,4.99E-07,1.12,-0.539343232,0.138297994
4498,0.136006896,3.04E-07,1.16,-0.143031871,0.063401365
4499,0.123702232,7.10E-07,0.473,0.194956086,0.080860699
4500,0.351786331,9.09E-07,0.778,0.16132343,0.304229705
4501,0.029998116,2.71E-07,0.248,-0.029902412,-0.010190344
4502,0.390228887,9.60E-07,2.5,0.83812164,0.249232738
4503,0.214930027,1.28E-07,0.754,0.225493696,0.139987415
4504,0.049396945,2.27E-07,0.379,-0.114511698,0.005370056
4505,0.04916058,1.43E-07,0.758,-0.155571445,-0.01181369
4506,0.079657599,8.75E-07,0.512,-0.107181185,0.051527919
4507,0.022656997,1.43E-07,0.010827,0.004030286,-0.013250146
4508,0.050956588,5.09E-07,0.523,-0.048092016,0.008038579
4509,0.148672578,1.85E-07,0.872,0.010495046,0.078464134
4510,0.049625747,1.04E-07,0.321,0.032999903,-0.001396335
4511,0.075410897,1.05E-06,0.446,-0.001391108,0.052058832
4512,0.083736629,1.42E-06,0.723,-0.089511667,0.064482052
4513,0.202340025,2.37E-07,0.904,-0.027845783,0.133921448
4514,-0.112379242,1.27E-06,1.54,0.791748778,-0.201821758
4515,0.113956217,3.87E-07,0.91,0.068975677,0.046835562
4516,0.032112637,2.48E-07,0.652,-0.213968278,-0.018900178
4517,0.105360124,5.44E-08,0.845,-0.084910354,0.035315909
4518,0.039971185,7.62E-07,0.813,-0.042911431,-0.006629406
4519,0.104336553,6.95E-07,0.229,-0.055810528,0.080015649
4520,-0.009036718,1.29E-06,0.153,0.126121711,-0.016867483
4521,0.167408636,5.10E-07,0.9,-0.022304969,0.108072547
4522,-0.184913823,7.40E-07,0.754,0.12387609,-0.235785428
4523,0.193988383,7.45E-09,0.593,-0.032534373,0.130882832
4524,-0.007472622,3.23E-07,0.0208,0.000155451,-0.037641433
4525,-0.061681108,6.80E-08,1.36,0.127365621,-0.160078468
4526,-0.018874215,1.43E-07,0.235,0.019287585,-0.064561058
4527,0.061819545,6.14E-07,0.455,-0.047426848,0.025184852
4528,0.003949741,3.36E-07,0.229,-0.033213149,-0.033167192
4529,0.00105637,1.37E-06,0.0387,0.014627503,0.004593657
4530,0.145993411,1.61E-07,0.879,0.068839145,0.072608027
4531,0.090622948,1.88E-08,1.28,-0.233482854,0.006786985
4532,0.027483233,1.21E-07,0.41,-0.53641362,-0.006266972
4533,0.122770517,8.96E-08,1.85,0.83812164,-0.020515713
4534,0.059480676,1.96E-06,1.15,-0.126858649,0.042005173
4535,0.166446691,8.47E-08,1,0.122387774,0.083613771
4536,0.010495662,7.50E-08,0.71,-0.120064651,-0.052042303
4537,0.088437126,7.15E-07,1.16,-0.262035108,0.033812819
4538,0.148468633,2.74E-07,0.746,0.103041273,0.083111355
4539,0.116133793,2.40E-07,0.526,-0.03242422,0.063549337
4540,0.207657929,1.02E-07,1.14,0.602277567,0.102468378
