"","PROD","A1","A2","A3","A4","ABPROD"
"5765",0.007314367,4.10573e-08,0.012276066,0.00184,-0.082019611,0.0598843094692851
"5766",0.04170276,1.61686e-08,0.056369985,-0.113,-0.332188932,0.00925448500580035
"5767",0.576450169,7.92908e-07,1.083344104,0.0458,0.008981264,-0.281111809987417
"5768",0.02424257,8.40161e-09,0.048201787,-0.01,0.015989724,0.0519363319826621
"5769",0.296043236,1.30418e-06,0.711140209,-0.171,-0.272732252,-0.27993606924156
"5770",0.50276697,1.76139e-07,0.93770998,0.137,0.046873971,-0.226129993807458
"5771",0.513830855,1.17663e-07,0.84363013,0.0477,0.099838636,-0.142997440581259
"5772",1.30625649,7.22634e-07,1.719370268,0.373,0.184119113,-0.0453032099121129
"5773",0.795328771,4.90304e-07,1.100488392,-0.432,-0.6135379153,-0.231683876570871
"5774",0.264267062,5.46516e-07,0.373934705,0.0394,-0.029182292,0.0237434701964548
"5775",0.37813643,1.57997e-07,0.553381996,-0.00508,0.035423154,-0.0351416706486097
"5776",0.428366726,2.17703e-07,0.613091672,0.117,0.115683203,-0.00720141830748105
"5777",0.685699388,3.55067e-08,0.957009185,0.0802,0.088653262,-0.0701469157107217
"5778",0.989499687,9.71882e-08,1.164653089,0.0416,0.106771473,0.0466087155390296
"5779",0.141905855,7.53873e-09,0.457939915,0.0814,-0.023938106,-0.183014428418196
"5780",1.586179006,3.14113e-08,1.717625445,0.0549,0.314712484,0.173709728359456
"5781",0.629194698,5.14261e-07,0.694248711,-0.0737,0.204743749,0.108177639993456
"5782",1.06685241,1.95258e-07,1.177155302,-0.0308,0.262871245,0.119883519670301
"5783",0.352093864,2.02467e-07,0.742023557,0.0611,0.038471374,-0.215815900478471
"5784",0.925451973,7.26703e-08,1.036229487,-0.0191,0.007705959,0.0754112930666196
"5785",0.600576595,1.66396e-07,0.64141115,-0.111,0.196528216,0.108122773681053
"5786",1.060003493,3.28988e-08,1.201938666,0.246,0.064391104,0.111984590643706
"5787",0.631588654,5.57174e-07,0.593297418,-0.138,-0.134532484,0.155900663034277
"5788",0.693619804,4.76778e-08,0.863808875,-0.046,0.018873974,-0.0074897625647608
"5789",0.855667171,4.42295e-07,1.110389335,0.0604,0.123993889,-0.0229529815445214
"5790",0.336132734,9.2584e-08,0.519080541,-0.0536,-0.065713706,-0.0673637996313327
"5791",0.936272105,7.04149e-08,1.259453203,0.158,0.181939052,-0.0643440762552887
"5792",0.257789591,2.51332e-07,0.339353067,-0.0564,-0.2573005,-0.00113994138917217
"5793",0.282348431,1.09836e-06,0.598602224,-0.00334,0.021981534,-0.141807655287124
"5794",0.792932211,6.86484e-08,1.002347156,-0.12,0.222558225,-0.0220498811131716
"5795",0.187561387,4.58326e-07,0.285578621,-0.0775,-0.009648688,0.00497948445925782
"5796",1.526192739,5.98294e-08,1.614966933,-0.245,0.209637941,0.144507847347626
"5797",1.825054901,2.27591e-07,2.029012389,0.516,0.154707936,0.20358230318948
"5798",0.29331017,1.546e-07,0.678201183,-0.0823,0.203804526,-0.226615684909461
"5799",0.399230408,2.9813e-07,0.525798943,0.0337,-0.095993854,0.00799230102720489
"5800",0.770791445,1.19255e-07,0.917020257,0.0306,0.032377388,0.0390249421247757
"5801",1.774983059,3.90546e-08,1.883370726,-0.186,0.041308912,0.146897875250119
