TAC,A1,A2,A3,A4,DA_ROA
-0.05519878,1.16E-07,-0.119,0.38669399,0.087393266,-0.03641554
-0.087346044,8.50E-08,-0.115,0.195947407,0.042127941,-0.07297198
-0.156385232,6.93E-08,0.0996,0.317561036,0.05136931,-0.132384289
-0.037652954,3.86E-08,0.104,0.160819991,0.016108706,-0.017759615
-0.113489222,4.47E-07,-0.032,0.241516756,0.017076861,-0.089373852
-0.019404738,7.62E-07,0.00342,0.360911537,-0.009675573,0.021164871
-0.052902844,5.24E-08,-0.0241,0.316766397,0.027165415,-0.02333881
-0.10265726,4.96E-08,-0.134,0.165459065,-0.011166048,-0.076804978
0.014727227,1.11E-07,0.101,0.486265518,0.020495709,0.061385069
-0.033866826,1.96E-08,0.058,0.542383998,0.084491109,0.000773441
0.00612605,6.48E-08,0.0884,0.19150005,0.262825095,-0.0368682
0.002880935,8.52E-07,-0.0389,0.142853126,-0.062187225,0.037803335
-0.140007753,7.01E-08,0.0163,0.4201225,0.051692264,-0.107767626
-0.043014667,5.07E-07,0.0169,0.246708527,0.118285195,-0.04515329
-0.134046596,2.96E-07,-0.0955,0.30327557,0.023404718,-0.106094306
-0.048655944,3.42E-07,-0.0748,0.234253128,0.126502957,-0.054033339
-0.026953446,3.36E-07,0.164,0.126867251,0.099644593,-0.032879565
-0.0266872,5.44E-07,0.0973,0.541049243,-0.024818523,0.035009109
-0.217294111,8.97E-08,0.0218,0.402021308,0.017191298,-0.177525821
-0.124353448,6.81E-07,0.0294,0.234929443,0.056550011,-0.111757426
-0.123626775,1.12E-06,-0.0087,0.550923841,0.055114954,-0.085213821
0.05194327,2.68E-08,0.000825,0.210686593,-0.027424906,0.087033492
-0.129015431,8.64E-08,0.0155,0.455168067,-0.117201303,-0.049074875
-0.003142518,3.05E-08,0.0606,0.304204816,0.064643811,0.016069552
-0.001686014,1.74E-08,-0.031,0.335860678,0.011527451,0.03376527
-0.065342449,6.68E-09,-0.0264,0.504382706,0.033343531,-0.02097804
-0.024120202,2.16E-08,0.0814,0.35251858,0.007297791,0.014646734
0.053280331,7.62E-08,-0.0662,0.060495134,0.054263224,0.053058626
0.061084487,4.82E-08,-0.50682,0.134202713,0.06632597,0.061164247
-0.055030005,1.20E-07,0.00668,0.402764968,0.053381642,-0.025003202
-0.121130813,2.71E-07,3.25E-05,0.343059876,0.106221087,-0.110911242
-0.097336741,1.94E-07,-0.053,0.43,0.04390885,-0.063134703
0.079878082,3.09E-09,-0.114,0.120129232,-0.003668334,0.100130662
-0.193222391,1.83E-08,-0.0392,0.113443082,-0.138931747,-0.137275688
0.024635234,2.15E-08,0.193,0.296591527,0.073927594,0.041666739
0.052753266,2.86E-09,-0.14,0.173207368,-0.045038279,0.088389731
0.091562538,2.29E-08,0.0823,0.298472919,-0.081161147,0.149069983
0.030946308,2.90E-08,-0.0459,0.098279911,0.089574685,0.024972867
0.058374255,5.67E-07,0.0147,0.244939945,0.162214778,0.044198871
0.181529,4.06E-08,-0.0459,0.049957258,0.097778548,0.169146076
0.041881666,1.84E-07,0.0717,0.337002507,0.083453002,0.058434115
0.044670273,9.68E-07,-0.0626,0.158026948,0.104519771,0.03614408
-0.070672439,1.05E-07,-0.00302,0.219623484,0.048935934,-0.05536167
-0.034277359,2.03E-07,0.00105,0.309583492,0.124533117,-0.031539058
-0.063207769,4.69E-07,0.0287,0.289854522,0.077169478,-0.050486083
0.042827189,4.64E-07,-0.014,0.109702092,0.033188964,0.05129829
-0.022008059,3.11E-08,0.0526,0.361011032,0.006119988,0.01757387
-0.071227302,3.36E-07,-0.102,0.582672617,-0.07546023,0.006942894
-0.022219221,2.44E-07,0.051,0.136283365,-0.007002758,0.000503672
-0.167318414,5.07E-08,0.101,0.254596137,0.074801736,-0.154902777
-0.023580983,2.66E-07,-0.168,0.214773644,0.031503183,-0.005827831
-0.054302061,5.45E-09,0.0632,0.103946402,0.077297258,-0.055696144
-0.070963162,4.66E-07,0.0723,0.231784956,0.081989347,-0.06424574
-0.108511492,2.15E-09,0.138,0.368157214,0.189520192,-0.116185581
-0.013558183,3.50E-07,-0.0191,0.149063485,0.006589351,0.005781696
-0.022397175,2.74E-09,0.146,0.236274112,0.101313314,-0.018097945
0.037296744,9.24E-09,0.252,0.237859033,0.008798878,0.066932803
-0.071076438,1.39E-08,0.17,0.496447719,0.11113564,-0.046690761
-0.016373824,1.53E-07,0.12,0.100326143,-0.074234588,0.021861562
-0.02513394,7.24E-08,0.0248,0.189914692,0.036984562,-0.008917928
0.01000567,6.23E-10,0.178,0.092713215,0.038648311,0.018675117
-0.02615447,4.90E-07,-0.0169,0.04509613,0.015959314,-0.018845451
-0.02741938,4.14E-08,-0.0296,0.179376518,-0.044836149,0.009301613
-0.11047145,1.86E-09,-0.118,0.053637053,0.015903186,-0.101192225
-0.036944632,4.12E-09,-0.00434,0.246482572,0.093740731,-0.030785607
0.011618846,4.11E-08,0.0204,0.110453424,0.064401435,0.013773384
-0.077849697,5.88E-08,-0.00516,0.306770771,0.085122304,-0.064397668
-0.119582098,6.23E-10,0.173,0.723079982,0.272956535,-0.118322476
-0.189645302,4.14E-08,0.145,0.092746831,0.03619397,-0.180707183
0.004357671,6.89E-08,0.106,0.067486568,0.017952595,0.015562339
-0.032021139,1.30E-08,-0.0676,0.495150098,0.116933797,-0.010901315
-0.054051421,6.19E-08,0.0891,0.364214259,0.027585806,-0.019747735
-0.108938136,8.10E-08,-0.0916,0.215620623,0.029198341,-0.089258075
0.002700745,2.56E-07,0.0518,0.11803407,0.141704593,-0.015584181
-0.003853067,6.55E-09,-0.0187,0.614157814,0.098117874,0.032931549
-0.033815081,2.86E-08,0.422,0.051523343,0.233166556,-0.07867873
0.141847487,4.96E-09,0.109,0.048378678,0.080969982,0.134975178
0.080938926,4.63E-08,-0.0511,0.00213324,0.041687009,0.07920524
-0.040455733,5.20E-08,0.00206,0.426115113,-0.003541073,0.006905587
-0.077119765,7.67E-08,0.0759,0.397942672,0.076633225,-0.053027941
0.063448537,5.34E-09,0.036,0.195003445,0.059179711,0.074565844
-0.001751717,4.66E-09,-0.144,0.02001453,0.026087509,0.00172554
-0.032239956,5.73E-09,-0.0462,0.024253715,0.024072376,-0.027198154
-0.071206084,4.31E-08,-0.0107,0.289505169,0.02137396,-0.042345182
-0.068555103,4.04E-09,0.147,0.126045748,0.024481549,-0.053467321
0.069090134,1.98E-09,0.0077,0.038669652,0.033385647,0.07329827
0.022688228,2.50E-07,-0.102,0.208563698,-0.000883868,0.048992844
-0.070953807,1.27E-07,0.165,0.055290007,0.060353042,-0.07186045
-0.002221272,3.38E-08,0.144,0.237533345,0.176725693,-0.017919776
-0.025154486,1.10E-08,-0.0432,0.0441247,0.009031534,-0.014405755
0.057812514,4.28E-08,-0.00291,0.031765573,0.019846098,0.064775946
-0.02333423,8.87E-07,0.0413,0.241985307,0.068780787,-0.014087819
-0.060605565,2.79E-07,-0.0799,0.179950945,0.015016359,-0.040956171
-0.028159318,4.34E-08,0.16,0.543998161,0.017922314,0.024854112
0.004131942,4.00E-08,0.183,0.251976188,0.182859203,-0.011696254
-0.104753671,1.06E-07,-0.101,0.454587269,0.02128994,-0.062412767
0.049238682,8.97E-09,0.0139,0.257114042,0.06485867,0.064074519
0.034054184,5.48E-08,-0.052,0.151406157,0.077892701,0.035640506
-0.015133919,1.12E-07,0.193,0.345720457,0.019316363,0.020269175
-0.037497282,5.31E-08,-0.0661,0.13117451,0.032557693,-0.025748958
0.011321363,1.45E-08,-0.259,0.071509532,0.094464007,0.000333477
-0.065360809,9.82E-09,-0.105,0.054206651,0.097795674,-0.077662855
-0.025101247,9.88E-09,0.101,0.074646777,0.160069523,-0.050717478
0.093268933,3.87E-07,-0.153,0.180932758,-0.014156373,0.11980945
0.022432108,1.39E-09,0.184,0.088110446,0.041421304,0.030005861
-0.055828242,2.73E-08,0.0482,0.401472816,0.138827609,-0.047898
-0.084442602,1.19E-08,0.143,0.187801977,0.107681429,-0.086090594
-0.114100718,4.56E-08,0.0389,0.234111371,0.071369795,-0.102956859
-0.011159877,4.57E-08,0.114,0.090824097,0.010155815,0.004279084
-0.264425446,2.31E-07,0.00299,0.055946645,-0.200041548,-0.197823655
0.024009031,1.20E-08,0.0668,0.251704374,0.025199001,0.049228195
-0.114868061,3.28E-08,-0.0939,0.231736863,0.043103036,-0.097300233
0.015233651,1.73E-08,0.161,0.190899733,0.18576667,-0.006723908
-0.00190356,8.07E-08,0.224,0.225359795,0.048168698,0.01575181
0.033315823,3.03E-07,-0.157,0.040070465,0.003899183,0.043156483
0.06565499,6.11E-08,-0.0523,0.117861756,0.040937941,0.074092096
0.016987715,1.10E-07,0.0361,0.266239906,0.039422919,0.039108852
-0.075155111,4.21E-08,0.71,0.059184946,0.172712885,-0.101431238
0.075908109,2.17E-07,-0.012,0.220999796,0.012183933,0.100573415
-0.042540186,6.77E-08,-0.108,0.332889809,-0.035964636,0.004509533
-0.031956303,5.22E-09,-0.112,0.443511709,0.076371148,-0.004845645
-0.123937686,2.35E-09,-0.193,0.420972662,-0.049370609,-0.066022242
-0.072535466,1.95E-09,0.0107,0.568202595,0.074063992,-0.033148064
-0.005816419,2.03E-07,0.13,0.223424671,0.053228655,0.00921251
0.106804623,1.19E-07,0.00128,0.165659755,0.065933795,0.112907583
-0.220369153,1.08E-07,-0.00393,0.083676841,0.004160671,-0.205010124
-0.064398859,1.59E-07,-0.104,0.264465954,0.03135108,-0.041440969
-0.018387175,9.10E-08,0.174,0.187428045,0.05533754,-0.006301959
0.028211926,1.76E-07,0.0039,0.218984072,0.11886565,0.024717344
