,TAC,A1,A2,A3,DA
1373,-0.004659163,1.84E-07,0.0227,0.299353397,0.017116336
1374,-0.012369364,1.91E-07,-0.0486,0.30154526,0.012665153
1375,-0.015956905,1.94E-07,-0.0399,0.298343183,0.008437625
1376,0.020564551,1.50E-07,0.0896,0.228127551,0.033130122
1377,-0.001702935,1.36E-07,0.0893,0.206642118,0.008944178
1378,0.064015686,1.95E-07,0.1,0.176475588,0.071801395
1379,-0.091248869,1.66E-07,0.0156,0.143177455,-0.082889634
1380,-0.031352891,1.94E-07,-0.0956,0.169235467,-0.015864201
1381,0.010694039,1.89E-07,-0.058,0.19396063,0.026719492
1382,0.044030551,1.66E-07,0.135,0.176730766,0.050230588
1383,0.031117577,1.21E-07,-0.0212,0.129201643,0.039646055
1384,0.104685104,6.29E-08,0.00748,0.300416193,0.126724349
1385,0.032294729,5.77E-08,0.0429,0.289837446,0.051878967
1386,-0.045657256,5.62E-08,-0.0656,0.283779146,-0.021982809
1387,0.00579696,5.81E-08,0.144,0.30088827,0.022038208
1388,0.15626581,5.47E-08,0.291,0.290960559,0.165359164
1389,-0.095195751,4.32E-08,-0.0165,0.230287021,-0.078340263
1390,-0.047469304,9.41E-08,0.037,0.303325699,-0.026311168
1391,0.062329489,9.58E-08,0.0681,0.312532153,0.082972892
1392,0.030877798,9.35E-08,-0.0326,0.302193565,0.054901666
1393,-0.043741118,9.12E-08,-0.126,0.286883593,-0.017082282
1394,0.052040164,9.31E-08,0.299,0.287615166,0.060651493
1395,-0.075425027,7.88E-08,-0.0106,0.240774833,-0.05776409
1396,-0.058120977,6.69E-08,-0.0206,0.14403945,-0.048533637
1397,0.068573153,6.92E-08,0.297,0.14623857,0.0648214
1398,-0.126329393,5.90E-08,-0.124,0.115312828,-0.114875243
1399,0.047778261,6.93E-08,-0.231,0.116671382,0.063953499
1400,-0.039101094,6.79E-08,0.17,0.110250592,-0.040588229
1401,-0.045302071,7.19E-08,0.256,0.128143682,-0.048876265
1402,-0.009394952,3.22E-08,0.221,0.452308757,0.016693059
1403,0.06966997,3.19E-08,0.248,0.422254929,0.091979248
1404,-0.082137814,2.99E-08,-0.214,0.37558181,-0.044218464
1405,-0.155475466,3.28E-08,-0.135,0.366425531,-0.121712727
1406,0.115434549,3.69E-08,0.624,0.375088658,0.117612283
1407,-0.027674729,2.67E-08,-0.228,0.261521616,0.000861677
1408,0.005559458,5.09E-08,0.165,0.450454403,0.033946651
1409,0.102911376,4.84E-08,0.303,0.48152526,0.128120313
1410,-0.117986138,4.39E-08,-0.142,0.431795262,-0.078169172
1411,-0.105475126,4.66E-08,-0.0172,0.439564469,-0.070289023
1412,0.108652855,4.35E-08,0.462,0.388734581,0.118955367
1413,-0.043914374,3.72E-08,0.00485,0.340011631,-0.018404619
1414,-0.030665851,1.25E-07,-0.00348,0.447898257,0.004971561
1415,-0.031068083,1.24E-07,0.0867,0.497715666,0.005075646
1416,-0.090088685,1.15E-07,-0.115,0.465895477,-0.048163462
1417,-0.004653586,1.20E-07,-0.0537,0.387227709,0.027803217
