代號,名稱,Year,Industry,Key,RPA_Ctd,RPA,LN_RPA_Count,RPA_Count,Finance,KY,OS,Equity,Asset,Price,eps2,eps1,dvps1
1234,黑松,2017,M1200,12342017,0,0,0,0,0,0,401871,17562146,22855928,23.64,1.32,1.41,1.024647
1235,興泰,2022,M1200,12352022,0,0,0,0,0,0,133629,1697508,3605307,72.53,5.15,0.81,1.030239
1235,興泰,2021,M1200,12352021,0,0,0,0,0,0,104398,3614794,4677445,39.49,0.81,0.64,1.526912
1235,興泰,2020,M1200,12352020,0,0,0,0,0,0,104398,2997328,4167382,21.66,0.64,0.51,0.591957
1235,興泰,2019,M1200,12352019,0,0,0,0,0,0,98955,2583303,4206027,15.56,0.51,1.21,0
1235,興泰,2018,M1200,12352018,0,0,0,0,0,0,87960,5083655,6830742,15.4,1.21,2.17,0
1235,興泰,2017,M1200,12352017,0,0,0,0,0,0,60662,4158465,5735515,14.49,2.17,3.13,0
1236,宏亞,2022,M1200,12362022,0,0,0,0,0,0,108343,2932606,4122836,25.62,-0.27,-0.25,0.49505
1236,宏亞,2021,M1200,12362021,0,0,0,0,0,0,108343,2128491,3456496,30.76,-0.25,-0.02,-2.407666
1236,宏亞,2020,M1200,12362020,0,0,0,0,0,0,108343,1607981,2764972,16.44,-0.02,0.12,0.247188
1236,宏亞,2019,M1200,12362019,0,0,0,0,0,0,108343,1684512,2736135,12.69,0.12,0.12,0.39198
1236,宏亞,2018,M1200,12362018,0,0,0,0,0,0,108343,1834005,2792241,13.46,0.12,0.05,0.106905
1236,宏亞,2017,M1200,12362017,0,0,0,0,0,0,108343,1758224,2933264,16.74,0.05,0.3,0.13005
1240,茂生農經,2022,M3300,12402022,0,0,0,0,0,0,38598,1317752,2214254,44.23,0.28,3.41,1.911305
1240,茂生農經,2021,M3300,12402021,0,0,0,0,0,0,36760,1380415,2132189,39.2,3.41,4.32,1.945296
1240,茂生農經,2020,M3300,12402020,0,0,0,0,0,0,35010,1261234,1894658,44.07,4.32,3.89,1.938387
1240,茂生農經,2019,M3300,12402019,0,0,0,0,0,0,33990,1025963,1707299,43.22,3.89,3.07,1.520571
1240,茂生農經,2018,M3300,12402018,0,0,0,0,0,0,33000,1167687,1615651,33.07,3.07,4.66,2.517798
6689,伊雲谷,2021,M2331,66892021,1,1,0.693147181,1,0,0,60000,1743235,4237674,#N/A,3.53,3.35,1.19193
1256,鮮活果汁-KY,2022,M1200,12562022,0,0,0,0,0,1,33842,4100050,4673081,302.68,12.03,21.3,13.22304
1256,鮮活果汁-KY,2021,M1200,12562021,0,0,0,0,0,1,33842,4021185,4821556,256.07,21.3,23.1,12.05589
1256,鮮活果汁-KY,2020,M1200,12562020,0,0,0,0,0,1,33842,2670735,3557450,402.2,23.1,15.94,6.101832
1256,鮮活果汁-KY,2019,M1200,12562019,0,0,0,0,0,1,33842,2058369,3146655,185.08,15.94,14.33,6.189127
1256,鮮活果汁-KY,2018,M1200,12562018,0,0,0,0,0,1,30766,1779307,2607916,150.96,14.33,9.32,5.00018
1256,鮮活果汁-KY,2017,M1200,12562017,0,0,0,0,0,1,30766,1525251,2322095,134.5,9.32,8.34,4.19502
1259,安心,2022,M2700,12592022,0,0,0,0,0,0,32390,2005546,5324339,74.5,5.24,2.71,2.032229
1259,安心,2021,M2700,12592021,0,0,0,0,0,0,32390,2091290,5286602,65.73,2.71,4.88,2.954352
1259,安心,2020,M2700,12592020,0,0,0,0,0,0,32390,1939491,4663025,59.93,4.88,4.79,3.054583
1259,安心,2019,M2700,12592019,0,0,0,0,0,0,32390,1862870,4570443,61.63,4.79,4.78,3.290552
1259,安心,2018,M2700,12592018,0,0,0,0,0,0,32390,1788856,2950308,58.93,4.78,5.26,3.523148
1259,安心,2017,M2700,12592017,0,0,0,0,0,0,32390,1780933,2953839,62.46,5.26,5.39,3.002769
1264,德麥,2022,M1200,12642022,0,0,0,0,0,0,37064,3641232,4706617,277.38,17.18,16.21,12.018094
1264,德麥,2021,M1200,12642021,0,0,0,0,0,0,37064,3373079,4262500,245.71,16.21,16.01,12.004298
1264,德麥,2020,M1200,12642020,0,0,0,0,0,0,33696,3160779,4021773,242.87,16.01,14.04,11.011572
1264,德麥,2019,M1200,12642019,0,0,0,0,0,0,33696,2896521,3524478,174.11,14.04,13.39,11.101649
1264,德麥,2018,M1200,12642018,0,0,0,0,0,0,33696,2742986,3278973,161.06,13.39,13.43,10.519719
1264,德麥,2017,M1200,12642017,0,0,0,0,0,0,33696,2578393,3088701,144.98,13.43,14.59,10.030625
1268,漢來美食,2022,M2700,12682022,0,0,0,0,0,0,42724,1850455,6281228,155.31,3.1,1.98,3.328974
1268,漢來美食,2021,M2700,12682021,0,0,0,0,0,0,42724,1996555,4662620,101.08,1.98,7.6,7.0832
1268,漢來美食,2020,M2700,12682020,0,0,0,0,0,0,37724,1731321,4527174,115.73,7.6,7.77,5.33799
1268,漢來美食,2019,M2700,12682019,0,0,0,0,0,0,37653,1550122,4114909,114.47,7.77,6.38,2.383568
1268,漢來美食,2018,M2700,12682018,0,0,0,0,0,0,37371,1497165,2776619,116.15,6.38,6.55,6.183855
1268,漢來美食,2017,M2700,12682017,0,0,0,0,0,0,37991,1907083,3213208,94.4,6.55,7.31,5.709841
1301,台塑,2022,M1300,13012022,0,0,0,0,0,0,6365741,357684863,511254407,85.7,5.64,11.22,8.20743
1301,台塑,2021,M1300,13012021,0,0,0,0,0,0,6365741,403190274,543678922,95.65,11.22,3.17,2.417125
1301,台塑,2020,M1300,13012020,0,0,0,0,0,0,6365741,332536140,479280423,88.66,3.17,5.85,4.38984
1301,台塑,2019,M1300,13012019,0,0,0,0,0,0,6365741,349153320,497087959,71.62,5.85,7.87,5.863937
