KEY,Code,Industry,YEAR,RPA,TMP,POST,Asset,Asset_1,Debt,Equity,CA,CL,SLTD,PPE,Cash,S,S_1,S_2,OPCOST,EXP,RD,ADV,RE,EBIT,OCF,NI_Ctd,CYCLE,CYCLE_1,MV,COGS,INV,INV_1,INST_1,BIG4
14732022,1473,M1400,2022,1,1,1,5176890,5213244,1638820,3538070,3264890,1442293,700809,1053270,798957,7529845,5761476,5970540,6310580,983539,75981,287016,1283342,367989,587511,301032,105.71,116.51,3075498,6310580,1071255,1216865,0.6168,1
14742017,1474,M1400,2017,1,0,0,4011492,3350902,2122980,1888512,2598155,1954154,1374351,948595,965122,3361577,3243968,3502011,2901913,286048,32987,151642,594601,157656,111039,107878,131.36,132.63,1480814,2901913,897055,868055,0.2921,1
14742018,1474,M1400,2018,1,0,0,3800530,4011492,1872608,1927922,2287175,1728422,1182778,1199988,639974,3617559,3361577,3243968,3204271,318597,60602,114837,627128,164789,110127,104626,128.14,131.36,1370403,3204271,897705,897055,0.3068,1
14742019,1474,M1400,2019,1,0,0,3620772,3800530,1721149,1899623,2130955,1349676,1059726,1188384,559500,3452413,3617559,3361577,3132783,317906,68171,107253,635266,83902,168477,39076,129.99,128.14,1258692,3132783,810654,897705,0.3116,1
14742020,1474,M1400,2020,1,0,0,3862094,3620772,1866400,1995694,2414029,1435736,1126676,1188481,734282,2858477,3452413,3617559,2456391,333425,66053,109352,733949,129508,147512,100880,157.57,129.99,1740606,2456391,906641,810654,0.2948,1
14742021,1474,M1400,2021,1,0,0,4262799,3862094,2174912,2087887,2561412,1536486,1289624,1433967,604986,3503869,2858477,3452413,2988217,374839,76634,127384,823507,191814,174650,141039,136.56,157.57,2013388,2988217,931683,906641,0.2608,1
14742022,1474,M1400,2022,1,1,1,3882578,4262799,1745706,2136872,2143543,975205,1046953,1492068,630487,3189020,3503869,2858477,2782976,347155,62250,115847,833696,126852,370187,80569,141,136.56,1552257,2782976,814860,931683,0.229,1
14752017,1475,M1400,2017,0,0,0,165144,267357,88951,76193,133753,86350,33553,17763,34030,123597,184449,222553,146940,31476,2502,9119,-246684,-56966,-26305,-59480,131.31,138.64,800800,146940,34966,52916,0.8403,1
14752018,1475,M1400,2018,0,0,0,91648,165144,57892,33756,69032,53242,11018,849,24067,53347,123597,184449,106881,19723,2066,7109,-302877,-49319,-43739,-51038,108.18,131.31,162562,106881,14585,34966,0.832,1
14752019,1475,M1400,2019,0,0,0,62574,91648,42015,20559,41910,39140,17018,905,10325,56533,53347,123597,60216,21837,2217,13255,-322620,16401,-30994,15919,76.17,108.18,66947,60216,7665,14585,0.8082,1
14752020,1475,M1400,2020,0,0,0,435455,62574,85363,350092,413493,82328,0,1401,158432,168113,56533,53347,136599,17188,1305,7224,-398201,3765,-11185,3700,19.18,76.17,616616,136599,15164,7665,0.8078,1
14752021,1475,M1400,2021,0,0,0,889252,435455,187397,701855,869532,182352,2000,271,530217,478666,168113,56533,368820,28306,0,19129,-315569,82342,-25406,82326,32.33,19.18,1316410,368820,51885,15164,0.7458,1
14752022,1475,M1400,2022,0,0,0,1281898,889252,272556,1009342,1281005,271110,1921,108,638274,1195744,478666,168113,896416,64904,0,28188,154323,304418,249359,307487,33.41,32.33,1657219,896416,72593,51885,0.572,1
14762017,1476,M1400,2017,0,0,0,20066414,19908066,4994168,15072246,9554854,4856740,1481155,9916705,1439958,24231970,24525694,25520749,17565757,2467291,163463,1370850,8663238,3789476,2845930,3068019,92.75,85.36,81624183,17565757,4295782,3340601,0.6312,1
14762018,1476,M1400,2018,0,0,0,22140882,20066414,5209852,16931030,11393505,5194388,1629979,10037149,2905110,27578209,24231970,24525694,19630699,2642228,143809,1442736,10424674,5519481,4957575,4381938,95.05,92.75,95479716,19630699,4264587,4295782,0.6241,1
