CompanyCode,CompanyName,ReportReason,Industry,AssuranceType,ReportURL,ReleaseDate,RPA_Count
2201,裕隆,5.股本達新臺幣五十億元以上者,汽車工業,無,https://mops.twse.com.tw/server-java/FileDownLoad?step=9&filePath=/home/html/nas/protect/t100/&fileName=t100sa11_2201_109.pdf,110/06/30,0
2204,中華,5.股本達新臺幣五十億元以上者,汽車工業,其他查驗證單位：,https://mops.twse.com.tw/server-java/FileDownLoad?step=9&filePath=/home/html/nas/protect/t100/&fileName=t100sa11_2204_109.pdf,110/06/30,1
2206,三陽工業,5.股本達新臺幣五十億元以上者,汽車工業,無,https://mops.twse.com.tw/server-java/FileDownLoad?step=9&filePath=/home/html/nas/protect/t100/&fileName=t100sa11_2206_109.pdf,110/06/30,0
2207,和泰車,5.股本達新臺幣五十億元以上者,汽車工業,其他查驗證單位：,https://mops.twse.com.tw/server-java/FileDownLoad?step=9&filePath=/home/html/nas/protect/t100/&fileName=t100sa11_2207_109.pdf,110/06/30,0
2208,台船,5.股本達新臺幣五十億元以上者,航運業,無,https://mops.twse.com.tw/server-java/FileDownLoad?step=9&filePath=/home/html/nas/protect/t100/&fileName=t100sa11_2208_109.pdf,110/06/29,0
2227,裕日車,6.係自願編製與申報,汽車工業,無,https://mops.twse.com.tw/server-java/FileDownLoad?step=9&filePath=/home/html/nas/protect/t100/&fileName=t100sa11_2227_109.pdf,110/06/30,0
2301,光寶科,5.股本達新臺幣五十億元以上者,電腦及週邊設備業,其他查驗證單位：,https://mops.twse.com.tw/server-java/FileDownLoad?step=9&filePath=/home/html/nas/protect/t100/&fileName=t100sa11_2301_109.pdf,110/06/28,0
2303,聯電,5.股本達新臺幣五十億元以上者,半導體業,其他查驗證單位：,https://mops.twse.com.tw/server-java/FileDownLoad?step=9&filePath=/home/html/nas/protect/t100/&fileName=t100sa11_2303_109.pdf,110/06/30,0
2308,台達電,5.股本達新臺幣五十億元以上者,電子零組件業,會計師事務所：,https://mops.twse.com.tw/server-java/FileDownLoad?step=9&filePath=/home/html/nas/protect/t100/&fileName=t100sa11_2308_109.pdf,110/08/31,0
2312,金寶,5.股本達新臺幣五十億元以上者,其他電子業,無,https://mops.twse.com.tw/server-java/FileDownLoad?step=9&filePath=/home/html/nas/protect/t100/&fileName=t100sa11_2312_109.pdf,110/06/29,0
