代號,名稱,Year,Industry,Key,RPA,RPA_Ctd,LN_RPA_Count,RPA_Count,Finance,KY,BM,ABSDA,DA,LGTA,LEV,OCF,MTB
1229,聯華,2018,M1200,12292018,0,0,0,0,0,0,1.104846819,0.010374629,0.010374629,17.22960126,0.189826723,0.073042344,0.905102846
1229,聯華,2017,M1200,12292017,0,0,0,0,0,0,1.422835854,0.04245519,0.04245519,17.20508165,0.1472796,0.060946748,0.702821761
1231,聯華食,2022,M1200,12312022,0,0,0,0,0,0,0.273116296,0.044044703,0.044044703,16.16860101,0.5083442,0.073839338,3.661443915
1231,聯華食,2021,M1200,12312021,0,0,0,0,0,0,0.323032808,0.011757489,0.011757489,16.03566022,0.503929595,0.112049908,3.095660797
1231,聯華食,2020,M1200,12312020,0,0,0,0,0,0,0.488800105,0.003540755,0.003540755,15.99282434,0.539185215,0.118487743,2.045826074
1231,聯華食,2019,M1200,12312019,0,0,0,0,0,0,0.739277433,0.065484552,0.065484552,15.8258757,0.5105722,0.03356383,1.352672157
1231,聯華食,2018,M1200,12312018,0,0,0,0,0,0,0.749378208,0.028297059,0.028297059,15.7618836,0.509096288,0.077001206,1.334439659
1231,聯華食,2017,M1200,12312017,0,0,0,0,0,0,0.961611894,0.017720105,-0.017720105,15.68482811,0.517689281,0.111086589,1.039920582
1232,大統益,2022,M1200,12322022,0,0,0,0,0,0,0.224910228,0.111880329,0.111880329,15.8160984,0.287057201,0.043936613,4.446218426
1232,大統益,2021,M1200,12322021,0,0,0,0,0,0,0.21296161,0.130138169,0.130138169,15.7619203,0.292117596,0.040862866,4.695682006
1232,大統益,2020,M1200,12322020,0,0,0,0,0,0,0.197325588,0.107799447,-0.107799447,15.66375874,0.26898219,0.324009937,5.067766477
1232,大統益,2019,M1200,12322019,0,0,0,0,0,0,0.247326341,0.015000801,-0.015000801,15.57465816,0.288593083,0.193302264,4.043240991
1232,大統益,2018,M1200,12322018,0,0,0,0,0,0,0.231216931,0.077370884,-0.077370884,15.51495406,0.279409501,0.254144381,4.324942796
1232,大統益,2017,M1200,12322017,0,0,0,0,0,0,0.324134539,0.059175703,-0.059175703,15.51161192,0.298464342,0.221764911,3.085138668
1233,天仁,2022,M1200,12332022,0,0,0,0,0,0,0.437996539,0.034409303,-0.034409303,14.67160957,0.367215671,0.085840881,2.283123064
1233,天仁,2021,M1200,12332021,0,0,0,0,0,0,0.50105982,0.005501749,0.005501749,14.65253122,0.367708952,0.045217183,1.995769687
1233,天仁,2020,M1200,12332020,0,0,0,0,0,0,0.507951423,0.043051168,-0.043051168,14.70484768,0.381851609,0.10103858,1.968692191
1233,天仁,2019,M1200,12332019,0,0,0,0,0,0,0.547118866,0.029363714,-0.029363714,14.72783544,0.350711315,0.125870596,1.827756384
1233,天仁,2018,M1200,12332018,0,0,0,0,0,0,0.533375386,0.022979624,0.022979624,14.59013588,0.259321802,0.093264798,1.87485217
1233,天仁,2017,M1200,12332017,0,0,0,0,0,0,0.526996205,0.009170691,0.009170691,14.54435446,0.275358557,0.114780215,1.897546871
