Code,Key,Equity,Asset,PPE,NI_Ctd,OCF,S,AR,Asset_1,S_1,AR_1,S_2,EXP,PROD
1522,15222022,9169705,26045578,8016711,1001861,1378369,19207226,3452335,24054607,16576615,2780036,14446208,3297077,15023323
1524,15242022,2526041,5431903,3149208,336445,682062,2439452,432705,5403257,1963425,392735,1908786,273363,1883014
1525,15252022,4619811,5609373,549636,269818,-66667,1500265,295996,5323884,1275608,186128,1052991,102750,1352764
1526,15262022,1430837,2904399,727502,386604,269748,2197117,147261,2829038,1887529,423556,1246649,297859,1439286
1527,15272022,4694099,5406694,879484,742053,1334347,3918677,526698,5131540,4484738,912127,3589313,365603,2819216
1528,15282022,2498803,5559022,1012568,153924,123936,3789118,949716,5101589,3587606,964711,3210946,1003902,2667473
1529,15292022,1720233,2999128,701749,46434,-73015,281520,67897,2547046,324446,198016,609148,44730,161798
1530,15302022,3368195,6791798,1797473,349287,221887,3100517,877092,6207280,3630956,791586,3093583,364775,2432617
1531,15312022,3742282,4610206,974119,186461,161575,2471056,775352,4883023,2946998,1018836,1609928,348327,2026501
1532,15322022,16684890,53029395,10610646,988910,1222236,14630178,3823773,49972033,18938168,4073790,13125899,2242112,11337623
1533,15332022,2940975,8010453,2271218,-66343,-390225,3365416,721600,7716585,2932537,722064,2866192,967996,2489277
1535,15352022,3511039,6966460,310550,520519,-17389,8844053,904307,6863041,8484613,799148,8836360,480109,8031190
1536,15362022,8975660,22926311,13759127,629073,-150905,7339165,2950489,21103619,6686364,2691475,5211042,1156625,5643604
1537,15372022,4344816,5845641,742867,881575,854399,7318728,769595,5254878,5797748,699374,7119214,584201,5793008
1538,15382022,61316,293814,19671,-27498,-19339,285107,49023,312246,265553,41568,275762,80673,242520
1539,15392022,1681797,2648548,1181533,391958,552205,2500079,116203,3934638,3142643,828341,2293323,110787,2203568
1540,15402022,1374338,1559314,305796,108136,88476,473291,38080,1520339,360792,20543,311106,66127,331952
1541,15412022,1875926,3611116,645831,272059,1144939,4057447,896111,5195985,6202947,2396161,5271945,423713,3462976
1558,15582022,8225201,12554781,3525829,625195,1195062,7198245,2028943,7966074,7719932,1003194,6965819,1075881,5743805
1560,15602022,6090670,9544895,4559011,1274350,1949833,6907619,1090395,10161515,6027838,1116695,5156550,1097687,4379157
1565,15652022,6267762,8301695,3658997,1019054,1288248,5003499,639310,8600004,5401607,905371,5006588,401753,3529098
1568,15682022,1638347,2923951,1350037,165390,372480,1790943,433463,3214552,1825807,578896,1756718,226331,1411005
1569,15692022,3678670,7219777,2690423,407394,1130401,5004172,1430460,7313299,4770880,1918820,4941442,603683,4031493
1570,15702022,912190,1048248,185920,108116,163683,641014,132084,1061695,691132,140876,556021,73841,462739
1580,15802022,2706346,3719305,1137526,354686,595336,3936519,454936,3717863,4294503,554327,3300489,914278,2469414
1582,15822022,5881329,11447348,2181140,377449,2348763,9809443,2151127,11792293,10194799,3774006,9663341,1279388,8186253
1583,15832022,6829085,15211524,3290127,874634,394967,6385075,2068724,13088087,6725493,1776111,5205033,868564,4702752
1584,15842022,2073127,4079669,829497,146431,-716978,1771224,388701,2818851,1108859,283823,787558,112698,1519810
1586,15862022,1542155,4273290,1973742,43134,21164,2539681,726763,4411082,2639658,713698,2295575,349431,2211042
1587,15872022,1399440,3129001,982674,137605,366719,2535296,412928,3026406,2353243,387265,1725729,423032,1945906
1589,15892022,8492012,21890919,9650666,-444375,-299508,9383925,3742658,18469856,8948211,3241509,8184273,1246250,8040146
1590,15902022,38933090,54599547,28829175,6012658,5226416,26072874,9049809,47678656,25399895,7482725,19103001,4350200,14179871
1591,15912022,503339,628077,277924,85942,251367,681959,6349,632732,572787,66583,613035,54484,517125
1593,15932022,1381415,2107274,875895,199029,136800,874890,191878,1650408,1177477,247328,868646,179947,622171
1595,15952022,2667890,5105553,776784,224652,439762,1795723,497175,4505171,2417036,932822,1692149,348551,1314279
1597,15972022,2423230,4054301,1861738,346787,432264,1635779,295739,3797199,1856920,447754,1381885,333970,925855
1598,15982022,4063960,11964599,3691829,-94683,626766,7122411,1096332,12200791,11742081,1648518,13123756,2441738,5037256
1599,15992022,2017340,3105864,1289521,274863,105167,3379807,155223,3085826,3610997,210567,3225614,489996,2615824
1603,16032022,5907012,9232002,3286848,329512,105973,3466625,1186800,8743442,2564399,1094741,2244267,145990,3018531
1604,16042022,8432273,13991744,5503815,715799,421350,8935666,841962,13033851,8904901,1127073,7670020,892564,7478805
1605,16052022,129821212,252524853,65656466,19140076,13904807,180400719,21892332,183034898,156664766,13731142,112546603,7847591,163054414
1608,16082022,8081493,13520161,3203094,89748,-161454,10749897,1634188,13666035,10484814,1490607,7440063,188515,10220776
1609,16092022,12423380,39325648,12603867,1064522,-295066,26749017,3969158,34316540,27457879,4399914,18300805,1328946,24572112
1611,16112022,4207190,5377875,787021,77314,195626,1570469,269046,5694130,1778424,323425,2074046,348208,1133042
1612,16122022,7106379,8209066,1333899,354129,491169,6385945,888013,8740782,6307283,527406,4567162,244575,5618483
1614,16142022,5560176,6832257,1863369,294886,-40270,6143333,327430,6901569,5797322,352070,5488349,815479,4976849
1615,16152022,2560653,3743418,1190758,431560,128861,4432803,806564,3547914,4524568,650167,3165977,175056,3782199
1616,16162022,1655070,3232467,771504,18454,-15107,3717472,584923,3126997,3208797,564716,2682733,181460,3422227
1617,16172022,2128046,3297915,1145042,40659,338011,3581378,695546,3615245,4619634,912075,2984283,294480,3329477
1618,16182022,4300470,4831518,1309001,248077,-99039,2864412,487110,4583435,2803841,339246,2822947,98654,2542078
1626,16262022,3214905,8824855,2787713,473197,946982,9220863,1762172,9949720,10156591,2488529,9207346,1687691,7777614
1701,17012022,7429577,12822563,4115976,479298,167272,8456512,2265496,12786876,7948998,2052572,8181056,2708683,5368631
1702,17022022,12379973,30463782,11954365,691717,1427614,20478405,2196341,29413868,19861770,2100972,17621763,4452218,15133045
1707,17072022,11141073,15053038,7360082,2169687,2990437,10391231,269647,14060879,9798246,300696,9168195,5929212,1909186
1708,17082022,7131288,13836576,9472908,1204422,1732791,8025189,808220,12126036,4795266,682212,4034992,1099600,5177065
1709,17092022,8549684,13270332,3765307,1081323,1127623,10571226,1084149,11587688,9199154,1162917,8481829,920630,8622732
1710,17102022,14294735,34907804,14736488,-790025,-1045600,22081099,1126551,33776171,27481719,1337439,18763159,1102714,22136114
1711,17112022,8806697,13132503,4541097,392540,853174,8891702,1534805,14136270,9200988,1842446,7769066,1614415,6896531
1712,17122022,8654676,16549289,5548342,1655325,2225304,23042876,3360028,16012080,18645875,2347742,17484401,4460635,16547510
1713,17132022,2585299,2750190,327468,285908,110737,571458,80565,2582254,624599,145571,475644,70149,508241
1714,17142022,16023976,23044418,5256670,642566,262506,22644215,3432950,24009123,20211458,3027464,25849191,1264787,20582745
1717,17172022,25071340,59455276,17472950,2619481,6581357,49014100,17132279,60535689,50471397,20071472,38370366,6885940,38851315
1718,17182022,74962794,835701961,27015984,2796826,1421290,33475057,14582855,801138255,32294374,14224936,27277647,8731954,20690305
1720,17202022,7435601,10968259,3658581,1153620,1227834,5851368,1262980,10095039,4604082,1158249,4305400,1369192,3363755
1721,17212022,2398046,4184256,1556541,61330,294144,3008554,568517,4091352,2850638,770014,2752601,223186,2752806
1722,17222022,53060996,80752474,13488766,2669649,5578896,15052251,1032242,79343199,13659406,1934703,10169742,1780562,13760212
1723,17232022,8075552,11208338,3811156,1702879,2629469,10526620,647652,11732869,7986319,693897,5363774,579468,8160784
1725,17252022,4179663,7061641,864006,253824,457446,9210806,1061465,7032885,10670339,1282316,7073550,240798,8783976
1726,17262022,9573199,11417491,3324419,814474,580637,9735561,2663674,11237793,8865627,2391950,7987996,1287830,7578255
1727,17272022,1579022,2854781,1465215,46901,338140,2306669,582692,2592677,2012931,676589,1772950,215737,2024723
1730,17302022,1915705,2593708,517748,277566,350007,2784615,540609,2657969,3138791,616696,3058759,944260,1514705
1731,17312022,1996993,2529909,725048,161830,147884,1245105,227827,2692439,1289211,242889,1065325,617398,428548
1732,17322022,482267,654088,181181,5167,27537,587101,92812,669827,619352,109910,620713,226139,364557
1733,17332022,1817893,2514701,641370,181451,26616,2244176,486769,2670467,2131656,474408,2005337,400279,1667337
1734,17342022,3216848,6185191,3119747,164174,425298,2856651,685189,6220931,2433516,592972,2388452,893965,1765351
1735,17352022,1495499,3388842,1373046,35210,340901,2957191,728772,3716818,3201106,957553,2363415,389307,2571177
1736,17362022,9482280,38865944,4494351,224941,392453,33612947,8777860,35262576,30779328,7608704,28366756,14821305,19006576
1737,17372022,6661904,8211666,3674664,427516,580689,3613607,177524,8467640,4095651,195596,3130347,831555,2337002
1742,17422022,1264292,2624601,559334,-123635,-698128,482012,100853,2405413,500464,26242,333591,235885,381296
1752,17522022,2411029,3584545,1600075,351999,369186,1940487,386711,3428891,1780098,350441,1754827,373303,1245585
1760,17602022,2007113,3093539,1496625,182345,489872,2398648,354031,2953095,1901211,333900,1568637,904632,1080052
1762,17622022,3193019,4564144,1960581,466140,733779,2117144,301401,4380761,1934702,379880,1543589,498225,1155387
1773,17732022,8037902,13524094,7852122,1825317,2272050,11345083,1369230,10939413,11143603,1665090,7778275,1284204,7964469
1776,17762022,1114003,1793798,337559,20996,92655,1448029,294302,1832526,1476066,352289,1380972,179544,1253788
1777,17772022,2199297,2779425,1007506,295288,438814,986300,120560,2895063,893233,91767,983788,129769,618302
1781,17812022,372578,799759,120363,-17548,-80695,797542,141852,776392,811879,102999,774155,142112,699817
1783,17832022,1295657,1447723,434622,139404,268338,604431,98855,1265184,511976,109946,457691,245376,230439
1784,17842022,1324725,1838690,498306,53591,94654,980377,236436,1783842,921420,189929,806575,485385,438158
1785,17852022,13203479,26600628,8091518,1429021,1009826,25790594,1729188,25421982,31354837,2099439,26665367,1842572,22317563
1786,17862022,1510931,2098236,1160194,141716,178207,557348,90296,2261942,505539,78367,466881,237256,185481
1788,17882022,2439528,4508679,1050565,366428,403164,4689687,1241228,4437461,3684006,1202348,3431968,588580,3644347
1789,17892022,10450053,11911176,3843378,353216,773791,3264045,635263,11691176,2762335,360247,3082928,845275,2013273
1795,17952022,13867890,29526073,3046727,3020757,3719418,14632772,4392451,21221950,12649189,3183591,10728583,3695035,6826623
1796,17962022,830771,1189632,633418,93454,122434,633963,120979,1316883,522334,104658,368303,120168,411801
1799,17992022,770559,1173154,263911,-168394,-53502,178897,20173,1263910,197277,26322,267654,237572,102583
