"","X","Code","Key","AC","A1","A2","A3","A4","DA","DA_ROA"
"74",74,1440,14402022,-0.030158940379936,1.99216846700923e-08,0.0274605083480027,0.409946275599215,0.0237418270790599,0.00292071877633676,0.00855560528434335
"75",75,1441,14412022,-0.00942012960891972,4.21218458635294e-07,0.0138976818242129,0.39623767672747,-0.134727566431416,0.0227242239854266,0.0617982298852725
"76",76,1442,14422022,0.164428945791824,7.09674150275205e-08,-0.0352273732106808,0.0017083985819575,0.0457356602886358,0.157704340687227,0.15689292575411
"77",77,1443,14432022,-0.0285155679714041,1.56309641897737e-07,-0.0131362623050858,0.689223763192143,0.022354310816721,0.0381431214630262,0.0425642327822325
"78",78,1444,14442022,-0.0464091214052732,4.82986113811138e-08,0.0420175218668341,0.344654978628106,0.0226316184251281,-0.0216533674349331,-0.0154782356195254
"79",79,1445,14452022,-0.0636136770723851,4.97413202639672e-07,0.108848433720437,0.39958346618411,0.00546557627060472,-0.038662939484937,-0.0284403002501194
"80",80,1446,14462022,0.0716265219607565,2.30442994394705e-07,-0.0100298008880351,0.000222838375579679,-0.0087121278460862,0.0625591609908146,0.0739115209727123
"81",81,1447,14472022,-0.0431682321785257,5.06154919747366e-08,0.191261670603793,0.282215786293699,-0.000906827154219381,-0.0369800549088619,-0.021880385702884
"82",82,1449,14492022,-0.00145037001819767,1.57324006746683e-07,-0.0482747141462128,0.0628111377215928,0.0155178107294658,-0.00057145703018583,0.004682660047393
"83",83,1451,14512022,0.0260250754665089,1.10496736976109e-07,0.0685501866787123,0.152266271500869,0.0471219964638834,0.0275664377101911,0.028858972479388
"84",84,1452,14522022,-0.171828827329152,3.1290247080307e-07,-0.115056428831585,0.166731020274829,0.040127864465669,-0.1545236608867,-0.156882129622115
"85",85,1453,14532022,0.00686579460178814,5.28097423412671e-07,0.107873932583083,0.0530019698033893,-0.00648978923631832,-0.00606750312455424,0.00678779394892951
"86",86,1454,14542022,-0.0453350198373575,4.86866057791975e-07,0.104456138967153,0.387630583562526,0.0156727052663815,-0.0213336650948853,-0.0134390601030037
"87",87,1455,14552022,-0.114521962193839,9.27917942360521e-08,-0.250513718570839,0.42198738681141,-0.0261481708649541,-0.0583631569273942,-0.0488464015347207
"88",88,1456,14562022,0.505539209095811,1.40339728801894e-07,-0.24941723927615,0.00870864153107276,-0.0105904569545774,0.516332206117236,0.522423174176921
"89",89,1457,14572022,0.127025973224445,5.39962547117807e-08,0.0174495916614232,0.17847727645915,0.109619848548065,0.135523142113629,0.121902667597835
"90",90,1459,14592022,-0.0746122327165209,1.53837751938163e-07,-0.0906595101344465,0.326334638646659,-0.0682065825635677,-0.0415626730411152,-0.0189367306370033
"91",91,1460,14602022,-0.021596683733404,6.84568029358658e-08,-0.0657062085939027,0.385083960899665,0.00149523348972518,0.016026147976693,0.0241174971791462
"92",92,1463,14632022,-0.0264556478630097,3.64739468421404e-07,0.0137353589018132,0.167959242552841,0.0251228898453979,-0.0192057380937407,-0.0152071755374462
"93",93,1464,14642022,-0.0767464449052105,5.22686993754779e-08,0.0832831684491077,0.257862558305081,0.0212332182846991,-0.0647363797949455,-0.0572108415911146
"94",94,1465,14652022,0.000210382831007799,5.47871955749478e-07,0.103988288689074,0.241936968427235,0.053006611718762,0.00823074748541684,0.00772243490498578
"95",95,1466,14662022,-0.023485662817384,2.71375649300163e-07,-0.249824080735341,0.484924946993551,-0.0181126963368901,0.0392822306675166,0.0464681112919339
"96",96,1467,14672022,-0.0810092286556517,1.16032635339015e-07,-0.121801081772259,0.224705320618477,-0.00483554404511813,-0.0565843377816017,-0.0485852019115257
"97",97,1468,14682022,-0.0765018662721952,2.91309169626125e-07,0.0792462899592429,0.197401289159599,0.0104335292193293,-0.0710887716603775,-0.06199781104648
"98",98,1470,14702022,-0.124582330914246,7.96888310525062e-07,-0.0872528948960101,0.319019094240808,0.0261722027825746,-0.0934047586134285,-0.0935343692225975
"99",99,1471,14712022,-0.133581292021845,8.41488761917585e-07,-0.104273079933018,0.0371677171251378,-0.132365340760874,-0.131961083015617,-0.0975334815433604
"100",100,1472,14722022,-0.0668394549335572,4.12316895220794e-07,0.216616041023882,0.0414427957724324,0.00135363636700987,-0.0894414943704291,-0.0752533451035236
"101",101,1473,14732022,-0.0549521564691774,1.91819143703997e-07,0.346697373075191,0.202037349489109,0.0577437004675016,-0.0699328839858104,-0.0643383877400896
"102",102,1474,14742022,-0.0679408060290903,2.34587650039329e-07,-0.140864253745016,0.350020725818881,0.0189004923760187,-0.0284536824422174,-0.0265797257796456
"103",103,1475,14752022,0.065367297458988,1.12454062515462e-06,0.968245221826884,0.000121450387516699,0.34578162320692,-0.0217349197589851,-0.0671487175200252
"104",104,1476,14762022,-0.188793913350245,3.41544437305027e-08,0.093642297163675,0.465427864499895,0.231920558676532,-0.154864177604351,-0.193642241673345
"105",105,1477,14772022,-0.00787118543148514,4.49987733334389e-08,0.143578801041884,0.235226542724445,0.159295702599147,-0.00306891407833053,-0.0245191741849371
"106",106,1503,15032022,0.0243112280062812,2.21261994336135e-08,0.0850030611596916,0.156669511358374,0.0469550920018436,0.025151406879249,0.0271619571819132
"107",107,1504,15042022,-0.0174626763519723,7.3199770591919e-09,0.0531109060704204,0.140044168741575,0.0292214216200646,-0.0159159306079083,-0.0107290540566725
"108",108,1506,15062022,0.00852656668159165,4.11156653563104e-07,0.0253913902974431,0.459847057948008,0.0377914638122527,0.0467399465647634,0.0479927155844007
"109",109,1512,15122022,-0.0977703559456549,5.36604186263899e-07,-0.128004245612322,0.229418680586895,-0.0990796701601388,-0.0728677391404208,-0.0455024977783185
"110",110,1513,15132022,-0.0877101841859839,2.91887514841386e-08,0.0397406310894121,0.418290658259761,0.0719939971581248,-0.0546944724320027,-0.0594468362066917
"111",111,1514,15142022,0.0367234400503025,1.22069671753432e-07,0.308995692527493,0.187567252759782,0.0641939989816948,0.023210484887357,0.0266627401752195
"112",112,1515,15152022,0.125778095845739,7.98630635966347e-08,-1.18173439094391,0.24910303796698,-0.0238886395830254,0.236243504560642,0.22220074057949
"113",113,1516,15162022,-0.359840563285938,1.94719973206532e-06,0.571721207731162,0.0871138216131381,0.0944800781995412,-0.407280052570557,-0.409601886925631
"114",114,1517,15172022,-0.0500341395959097,1.76068055233253e-07,-0.0320151587552834,0.210847482455699,0.0977538646057783,-0.0342590276102695,-0.0468756996445946
