,名稱,年/月,Year,Key,Equity,PreEquity,AT,NI,PreSale,OS,BVBV,PrePBRatio,PreAB,PBRatio,AB,NB,BVE,LNAT,NIS,Industry,Price3m,RPA,LN_RPA_Count,RPA_Count,Finance,KY,Price
1213,大飲,18-Dec,2018,12132018,606465,696026,1369872,-89640,649522,56623,0.871325209,#N/A,1.968133374,#N/A,2.258781628,-0.147807376,10.71,14,-1.58,M1200,10.7,0,0,0,0,0,#N/A
1213,大飲,17-Dec,2017,12132017,696026,694041,864866,1989,671770,56623,1.002860062,1.199292405,1.246130992,1.196094386,1.242577145,0.002857652,12.29,14,0.04,M1200,15.1,0,0,0,0,0,14.7
1215,卜蜂,22-Dec,2022,12152022,9487764,8593007,26393745,1544863,24841345,294790,1.104126181,3.11256545,3.071537705,2.819453076,2.781871999,0.162826879,32.18,17,5.24,M1200,80.21,0,0,0,0,0,90.73
1215,卜蜂,21-Dec,2021,12152021,8593007,8733486,23177472,1315857,22189635,267991,0.9839149,2.096737206,2.653862616,2.131316282,2.697248123,0.153131145,32.06,17,4.91,M1200,68.67,0,0,0,0,0,68.33
1215,卜蜂,20-Dec,2020,12152020,8733486,8626994,19546349,1557466,21173634,267991,1.012344045,2.114853364,2.265719554,2.088984351,2.238092441,0.178332684,32.59,17,5.81,M1200,61.32,0,0,0,0,0,68.08
1215,卜蜂,19-Dec,2019,12152019,8626994,7256685,18650361,1035296,21235086,267991,1.18883402,2.016020909,2.570093782,1.695868282,2.161860898,0.120006575,32.19,17,3.86,M1200,44.69,0,0,0,0,0,54.59
1215,卜蜂,18-Dec,2018,12152018,7256685,6957514,15790164,997471,19865000,267991,1.042999698,1.928221698,2.269512357,1.84859675,2.175947282,0.137455463,27.08,17,3.72,M1200,37.47,0,0,0,0,0,50.06
1215,卜蜂,17-Dec,2017,12152017,6957514,6608737,13886122,1475578,18172909,267991,1.052775137,1.673945942,2.101176367,1.590138675,1.995845355,0.212084086,25.96,16,5.51,M1200,44.92,0,0,0,0,0,41.28
1216,統一,22-Dec,2022,12162022,192194954,180993745,551399914,26297163,473501669,5682015,1.061887271,2.296429621,3.046513646,2.162281998,2.86896145,0.13682546,33.83,20,4.63,M1200,68.93,0,0,0,0,0,73.15
1216,統一,21-Dec,2021,12162021,180993745,180598593,514039630,27718528,447319979,5682015,1.002188013,1.941212939,2.84631027,1.937205651,2.840096104,0.153146331,31.85,20,4.88,M1200,60.41,0,0,0,0,0,61.7
1216,統一,20-Dec,2020,12162020,180598593,174005305,495338492,28898990,447977703,5682015,1.037891305,2.117302416,2.846686151,2.040276904,2.742759419,0.160017803,31.78,20,5.09,M1200,64.66,0,0,0,0,0,64.84
1216,統一,19-Dec,2019,12162019,174005305,170300834,477455273,28120518,431445520,5682015,1.021752512,2.032569927,2.803599147,1.989549314,2.743912164,0.161607245,30.62,20,4.95,M1200,56.05,0,0,0,0,0,60.92
1216,統一,18-Dec,2018,12162018,170300834,191300194,407150086,26497612,399860953,5682015,0.890228235,2.033998916,2.128330753,2.284951618,2.390769772,0.155592967,29.97,20,4.66,M1200,61.94,0,0,0,0,0,68.48
1216,統一,17-Dec,2017,12162017,191300194,152700266,414655454,14788021,413364315,5682015,1.252782323,2.218475077,2.715486128,1.770715771,2.167564211,0.077302697,33.67,20,2.6,M1200,53.15,0,0,0,0,0,59.62
1217,愛之味,22-Dec,2022,12172022,7517472,7397369,13755189,130615,4710880,494513,1.016235908,0.855678066,1.859470441,0.842105263,1.829762585,0.017374857,15.2,16,0.26,M1200,11.21,0,0,0,0,0,12.8
1217,愛之味,21-Dec,2021,12172021,7397369,6858474,13836774,210361,4614486,494513,1.078573601,0.708046376,2.017471233,0.656417112,1.870499363,0.028437273,14.96,16,0.43,M1200,10.8,0,0,0,0,0,9.82
1217,愛之味,20-Dec,2020,12172020,6858474,6439266,13340859,223646,4468238,494513,1.06510183,0.840153555,2.07179809,0.788752704,1.945164332,0.032608712,13.87,16,0.45,M1200,8.49,0,0,0,0,0,10.94
1217,愛之味,19-Dec,2019,12172019,6439266,6271960,12895986,23601,4321819,494513,1.026675234,0.564530558,2.05613333,0.549923195,2.002710557,0.003665169,13.02,16,0.05,M1200,6.43,0,0,0,0,0,7.16
1217,愛之味,18-Dec,2018,12172018,6271960,6123799,12584818,-35217,4146490,494513,1.024194295,0.541042758,2.055067124,0.528391167,2.006520769,-0.005614991,12.68,16,-0.07,M1200,6.8,0,0,0,0,0,6.7
1217,愛之味,17-Dec,2017,12172017,6123799,6041375,12242288,-44018,4114545,494513,1.013643252,0.602448231,2.026407565,0.59450727,1.999132891,-0.007188022,12.38,16,-0.09,M1200,6.98,0,0,0,0,0,7.36
1218,泰山,22-Dec,2022,12182022,12567859,6991127,16654604,-285606,9944978,499999,1.797687125,1.968920386,2.382248813,1.095067621,1.32517432,-0.022725112,25.14,17,-0.57,M1200,28.31,0,0,0,0,0,27.53
1218,泰山,21-Dec,2021,12182021,6991127,7031602,10638276,581097,8356125,499999,0.994243844,2.124689384,1.512923513,2.137339056,1.521682556,0.083119217,13.98,16,1.16,M1200,26.5,0,0,0,0,0,29.88
1218,泰山,20-Dec,2020,12182020,7031602,6605173,9240265,831313,8000584,499999,1.064559853,2.013569274,1.398943676,1.891891892,1.314105235,0.118225264,14.06,16,1.66,M1200,27.05,0,0,0,0,0,26.6
1218,泰山,19-Dec,2019,12182019,6605173,6402709,9229347,568667,7901670,499999,1.031621615,1.629775636,1.441475319,1.57986374,1.39729073,0.086094187,13.21,16,1.14,M1200,20.04,0,0,0,0,0,20.87
1218,泰山,18-Dec,2018,12182018,6402709,3821989,8807002,458649,7681801,499999,1.675229573,2.24097528,2.304298102,1.337236534,1.375511834,0.071633585,12.81,16,0.92,M1200,15.54,0,0,0,0,0,17.13
1218,泰山,17-Dec,2017,12182017,3821989,3476167,7482013,265285,8110827,499999,1.099483713,2.199257029,2.15237444,2.001308901,1.95762285,0.069410195,7.64,16,0.53,M1200,13.98,0,0,0,0,0,15.29
1219,福壽,22-Dec,2022,12192022,4433806,4474177,10275495,307401,14778782,322014,0.990976888,1.466782678,2.296622373,1.480029049,2.31753374,0.06933118,13.77,16,0.95,M1200,20.38,0,0,0,0,0,20.38
1219,福壽,21-Dec,2021,12192021,4474177,4443414,9150195,295079,12324165,322014,1.00692328,1.342143514,2.059271317,1.333333333,2.045112431,0.065951571,13.89,16,0.92,M1200,17.94,0,0,0,0,0,18.52
1219,福壽,20-Dec,2020,12192020,4443414,3959290,8550063,281614,12259254,322014,1.122275458,1.6737971,2.159494,1.491304348,1.924210303,0.063377844,13.8,16,0.87,M1200,18.82,0,0,0,0,0,20.58
1219,福壽,19-Dec,2019,12192019,3959290,3816632,8937571,-1823,11709984,322014,1.037377981,1.515307591,2.341742929,1.460162602,2.257367104,-0.000460436,12.3,16,-0.01,M1200,15.27,0,0,0,0,0,17.96
1219,福壽,18-Dec,2018,12192018,3816632,3947659,8515527,-94723,10822788,322014,0.966808937,1.231720217,2.157108048,1.274261603,2.231162711,-0.024818479,11.85,16,-0.29,M1200,15.39,0,0,0,0,0,15.1
1219,福壽,17-Dec,2017,12192017,3947659,3876860,8461787,41066,10965542,322014,1.018261944,1.271656531,2.182639301,1.248776509,2.143494917,0.010402621,12.26,16,0.13,M1200,15.18,0,0,0,0,0,15.31
1220,台榮,22-Dec,2022,12202022,2434031,2593610,3202925,72368,3219386,177078,0.938472245,1.000224668,1.234929307,1.065454545,1.315893265,0.02973175,13.75,15,0.41,M1200,16.13,0,0,0,0,0,14.65
1220,台榮,21-Dec,2021,12202021,2593610,2548594,3291690,193481,2775071,177078,1.017663072,1.017196902,1.29157096,0.999317406,1.269153805,0.074599111,14.65,15,1.09,M1200,15.75,0,0,0,0,0,14.64
1220,台榮,20-Dec,2020,12202020,2548594,2478489,3101296,180606,2982351,177078,1.028285379,1.036680728,1.251284956,1.008339124,1.216865456,0.070864955,14.39,15,1.02,M1200,12.16,0,0,0,0,0,14.51
1220,台榮,19-Dec,2019,12202019,2478489,2420348,3149822,153765,2747263,177078,1.024021752,0.678213654,1.301392196,0.662142857,1.270863821,0.062039815,14,15,0.87,M1200,8.32,0,0,0,0,0,9.27
1220,台榮,18-Dec,2018,12202018,2420348,2386159,3106563,110331,2366605,177078,1.014328048,0.65973115,1.30190947,0.650329188,1.283519147,0.045584767,13.67,15,0.62,M1200,8.89,0,0,0,0,0,8.89
1220,台榮,17-Dec,2017,12202017,2386159,2402622,3027503,81361,2863712,177078,0.993147903,0.698694776,1.260082943,0.703264095,1.268776724,0.034097057,13.48,15,0.46,M1200,8.48,0,0,0,0,0,9.48
1225,福懋油,22-Dec,2022,12252022,3852374,3872444,9441163,347147,13103954,218703,0.994817227,2.936790306,2.438037322,2.952867689,2.450738947,0.090112486,17.61,16,1.59,M1200,54.69,0,0,0,0,0,52
1225,福懋油,21-Dec,2021,12252021,3872444,3733141,9109168,486847,10213493,218703,1.037315226,2.62047032,2.440081422,2.5256917,2.352304643,0.125720863,17.71,16,2.23,M1200,52.65,0,0,0,0,0,44.73
1225,福懋油,20-Dec,2020,12252020,3733141,3648429,7693394,417787,10646506,218703,1.023218761,2.381592239,2.10868678,2.327475103,2.060836706,0.111912998,17.07,16,1.91,M1200,47.05,0,0,0,0,0,39.73
1225,福懋油,19-Dec,2019,12252019,3648429,3601285,7741017,395480,11243509,218703,1.013090883,1.925114258,2.149515242,1.900479616,2.121739795,0.10839734,16.68,16,1.81,M1200,26.87,0,0,0,0,0,31.7
1225,福懋油,18-Dec,2018,12252018,3601285,3637558,6426121,300502,10757313,218703,0.9900282,3.701207425,1.766603034,3.737704918,1.784396681,0.083442993,16.47,16,1.37,M1200,55.82,0,0,0,0,0,61.56
1225,福懋油,17-Dec,2017,12252017,3637558,3677711,7017020,320546,10919454,218703,0.989082068,4.081825331,1.907985701,4.127480457,1.929046905,0.088121207,16.63,16,1.47,M1200,59.09,0,0,0,0,0,68.64
1227,佳格,22-Dec,2022,12272022,17853740,18477217,27929413,1317280,34307044,915090,0.966256986,1.992898692,1.511559506,2.062532035,1.56434523,0.07378174,19.51,17,1.44,M1200,39.56,0,0,0,0,0,40.24
1227,佳格,21-Dec,2021,12272021,18477217,18015627,28289140,2564015,34466244,915090,1.025621645,2.190755376,1.570255645,2.136206043,1.531028185,0.138766298,20.19,17,2.8,M1200,46.05,0,0,0,0,0,43.13
1227,佳格,20-Dec,2020,12272020,18015627,16950691,27823862,3257860,31266232,915090,1.062825521,2.582662005,1.641458864,2.429659726,1.544429289,0.180835227,19.69,17,3.56,M1200,51.82,0,0,0,0,0,47.84
1227,佳格,19-Dec,2019,12272019,16950691,16040325,25488265,3488852,27340587,915090,1.056754835,3.053280828,1.589011756,2.889848812,1.503671148,0.205823586,18.52,17,3.81,M1200,51.82,0,0,0,0,0,53.52
1227,佳格,18-Dec,2018,12272018,16040325,15023608,23997656,2602819,26477924,915090,1.067674623,3.013224407,1.597329749,2.822019395,1.496082904,0.162267223,17.53,17,2.84,M1200,42.22,0,0,0,0,0,49.47
1227,佳格,17-Dec,2017,12272017,15023608,14417761,22709488,2278310,27073564,915090,1.04202088,3.085893559,1.575105039,2.961023143,1.511586831,0.151648659,16.42,17,2.49,M1200,53.43,0,0,0,0,0,48.62
1229,聯華,22-Dec,2022,12292022,53432123,56423056,69909548,4840308,11322814,1480130,0.946990943,1.630887949,1.239024487,1.722160665,1.308380504,0.090587978,36.1,18,3.27,M1200,51.35,0,0,0,0,0,62.17
1229,聯華,21-Dec,2021,12292021,56423056,44450094,71670249,4744160,9544161,1409648,1.269357406,1.553939391,1.612375645,1.224081939,1.270229833,0.08408194,40.03,18,3.37,M1200,54.54,0,0,0,0,0,49
1229,聯華,20-Dec,2020,12292020,44450094,37630191,55988518,3497207,8271293,1281498,1.181234876,1.314865444,1.487861648,1.113000865,1.259581543,0.078677156,34.69,18,2.73,M1200,35.39,0,0,0,0,0,38.61
1229,聯華,19-Dec,2019,12292019,37630191,24620602,46544943,2606996,5097818,1104740,1.528402555,1.186826098,1.890487609,0.776570757,1.236904245,0.069279372,34.06,18,2.36,M1200,23.18,0,0,0,0,0,26.45
1229,聯華,18-Dec,2018,12292018,24620602,25285915,30389304,2474643,4800213,1052133,0.973688395,0.881288138,1.201827341,0.905128205,1.234303857,0.100511068,23.4,17,2.35,M1200,19.06,0,0,0,0,0,21.18
1229,聯華,17-Dec,2017,12292017,25285915,22114560,29653231,2735161,5223429,956485,1.143405747,0.80361044,1.340891747,0.702723147,1.172717341,0.10816935,26.44,17,2.86,M1200,19.29,0,0,0,0,0,18.58
1231,聯華食,22-Dec,2022,12312022,5171248,4568168,10518025,958044,9517892,224233,1.132017912,4.144820094,2.302460198,3.661751951,2.033943257,0.185263596,23.06,16,4.27,M1200,80.41,0,0,0,0,0,84.44
