代號,名稱,年/月,Year,Key,Equity,TA,NI,BVE,NB,LNAT,NIS,Industry,Price3m,RPA,LN_RPA_Count,RPA_Count,Finance,KY,Price
1227,佳格,17-Dec,2017,12272017,15023608,22709488,2278310,16.42,0.151648659,17,2.49,M1200,53.43,0,0,0,0,0,48.62
1229,聯華,22-Dec,2022,12292022,53432123,69909548,4840308,36.1,0.090587978,18,3.27,M1200,51.35,0,0,0,0,0,62.17
1229,聯華,21-Dec,2021,12292021,56423056,71670249,4744160,40.03,0.08408194,18,3.37,M1200,54.54,0,0,0,0,0,49
1229,聯華,20-Dec,2020,12292020,44450094,55988518,3497207,34.69,0.078677156,18,2.73,M1200,35.39,0,0,0,0,0,38.61
1229,聯華,19-Dec,2019,12292019,37630191,46544943,2606996,34.06,0.069279372,18,2.36,M1200,23.18,0,0,0,0,0,26.45
1229,聯華,18-Dec,2018,12292018,24620602,30389304,2474643,23.4,0.100511068,17,2.35,M1200,19.06,0,0,0,0,0,21.18
1229,聯華,17-Dec,2017,12292017,25285915,29653231,2735161,26.44,0.10816935,17,2.86,M1200,19.29,0,0,0,0,0,18.58
1231,聯華食,22-Dec,2022,12312022,5171248,10518025,958044,23.06,0.185263596,16,4.27,M1200,80.41,0,0,0,0,0,84.44
1231,聯華食,21-Dec,2021,12312021,4568168,9208709,778335,22.64,0.170382306,16,3.86,M1200,64.62,0,0,0,0,0,70.09
1231,聯華食,20-Dec,2020,12312020,4065573,8822575,610730,22.18,0.150219908,16,3.33,M1200,41.64,0,0,0,0,0,45.37
1231,聯華食,19-Dec,2019,12312019,3654089,7466043,531956,20.93,0.145578282,16,3.05,M1200,25.27,0,0,0,0,0,28.31
1231,聯華食,18-Dec,2018,12312018,3437917,7003241,552027,20.68,0.160570194,16,3.32,M1200,25.66,0,0,0,0,0,27.59
1231,聯華食,17-Dec,2017,12312017,3127240,6483870,380721,19.56,0.121743454,16,2.38,M1200,19.14,0,0,0,0,0,20.34
1232,大統益,22-Dec,2022,12322022,5271072,7393401,1156882,32.95,0.219477556,16,7.23,M1200,142.64,0,0,0,0,0,146.5
1232,大統益,21-Dec,2021,12322021,4957653,7003498,1238735,30.99,0.249863191,16,7.74,M1200,145.73,0,0,0,0,0,145.52
1232,大統益,20-Dec,2020,12322020,4641004,6348688,1320636,29.01,0.284558255,16,8.26,M1200,126.52,0,0,0,0,0,147.02
1232,大統益,19-Dec,2019,12322019,4131485,5807485,1000370,25.83,0.242133277,16,6.25,M1200,93.3,0,0,0,0,0,104.42
