"","Code","KEY","YEAR","Industry","IndustryY","Cash","CA","PPE","STD","CL","CFO","A","S","NI_Ctd","Cycle","A_1","S_1","CFO_pre","CFO_post","Cash_1","CA_1","CL_1","STD_1","AvgA","deltaWC","deltaS","AQ"
"89",2732,27322015,2015,"M2700","2015M2700",513815,826960,0.33232243629162,0,406669,0.195728171629969,1298081,1651321,138097,82.69,942833,1411727,0.172233294093392,0.235679727111348,326766,619127,258225,0,1120457,-0.113935653041571,0.213835961576392,-0.106643282212981
"90",2734,27342015,2015,"M2700","2015M2700",302546,844918,0.207853974661206,0,248855,-0.0359352789772124,1107886,1774153,-9401,11.77,832380,1607875,0.0770162441644599,-0.151744142298015,233782,562584,253710,0,970133,0.225149541351547,0.171397117714788,0.150591122568427
"91",2736,27362015,2015,"M2700","2015M2700",551532,676639,0.572442876297954,0,301293,0.0955371893262309,1792293,829289,263642,7.81,1703979,841822,0.164276120393379,0.00965599930440195,391701,510675,404222,0,1748136,0.0623875945578605,-0.00716935066836905,0.0716402367575641
"92",2739,27392015,2015,"M2700","2015M2700",191944,986340,0.328023426354068,23000,1478984,0.1610898650013,3071991,4447568,302699,30.74,3133328,4454830,0.199263889576023,0.176138567574044,189458,895169,1547680,20000,3102659.5,0.0516914601811768,-0.00234057266032576,0.0323894221370276
"93",2740,27402015,2015,"M2700","2015M2700",151785,213162,0.498227065011209,0,119369,0.323385497499569,421709,878239,26191,24.37,320563,875568,0.275928500603552,-0.0329367132264183,54363,112051,99643,0,371136,-0.043210575099155,0.00719682272805656,0.142423691994979
"94",2743,27432015,2015,"M2700","2015M2700",556426,1087816,0.0522348659998249,165000,863629,0.175535158053219,1421230,4857100,83629,23.64,1171789,5089634,-0.0462642194291673,-0.094484460005885,287660,860210,727330,74000,1296509.5,-0.0666859749195822,-0.179353872840885,0.0432383878834825
"95",3252,32522015,2015,"M2700","2015M2700",3611,1452616,0.00281607316722557,681831,1700420,-0.158510925736701,4308947,133893,313701,7608.13,3663147,199523,-0.074446186911494,0.0544057809654527,37899,1081985,2289669,536423,3986047,0.285891260188352,-0.0164649338053465,0.057308746980259
"96",3522,35222015,2015,"M2700","2015M2700",440223,1472201,0.203697936525751,375565,683516,0.0957710509083801,1948452,1518077,-55625,221.31,2087799,2217115,0.0307290106586533,0.0910097018247874,288889,1562081,703372,237005,2018125.5,-0.0410271809161521,-0.346379846050208,-0.0659846468972105
"97",4530,45302015,2015,"M2700","2015M2700",51563,283113,0.155382588020927,85941,108210,-0.0544220216749135,384860,68758,-79809,117.21,475674,75534,-0.12918257732989,0.22492080498853,20872,133547,196087,143577,430267,0.346566201916484,-0.0157483609014868,0.195378168530226
"98",4804,48042015,2015,"M2700","2015M2700",353059,447651,0.614030395194208,32436,286267,0.299286204781111,1082010,1040441,128275,5.82,611613,548549,0.198707740742775,0.138148808796291,115932,224083,213584,0,846811.5,-0.0635395244396185,0.580875436859325,0.0981434205325041
