代號,名稱,Year,Industry,Key,RPA,LN_RPA_Count,RPA_Count,Finance,KY,OS,Equity,Asset,NI,Price,MVE,BVE,Earnings,NetDiv,ADV,RD,ROA,S,SG,BM
1220,台榮,2020,M1200,12202020,0,0,0,0,0,177078,2548594,3101296,180606,14.51,2569401.78,2548594,180606,177077,0.039348543,0,1.6,2775071,-6.95,1.310791776
1220,台榮,2019,M1200,12202019,0,0,0,0,0,177078,2478489,3149822,153765,9.27,1641513.06,2478489,153765,106246,0.039733418,0,0.89,2982351,8.56,1.603275455
1220,台榮,2018,M1200,12202018,0,0,0,0,0,177078,2420348,3106563,110331,8.89,1574223.42,2420348,110331,81455,0.039323865,0,0.86,2747263,16.08,1.580145571
1220,台榮,2017,M1200,12202017,0,0,0,0,0,177078,2386159,3027503,81361,9.48,1678699.44,2386159,81361,70831,0.040557254,0,-3.54,2366605,-17.36,1.688619809
1225,福懋油,2022,M1200,12252022,0,0,0,0,0,218703,3852374,9441163,347147,52,11372556,3852374,347147,437405,0.027557421,0.002526063,-0.86,15274361,16.56,0.329307108
1225,福懋油,2021,M1200,12252021,0,0,0,0,0,218703,3872444,9109168,486847,44.73,9782585.19,3872444,486847,349924,0.03059069,0.002802513,0.85,13103954,28.3,0.373316582
1225,福懋油,2020,M1200,12252020,0,0,0,0,0,218703,3733141,7693394,417787,39.73,8689070.19,3733141,417787,306184,0.037914845,0.003438099,0.23,10213493,-4.07,0.523121512
1225,福懋油,2019,M1200,12252019,0,0,0,0,0,218703,3648429,7741017,395480,31.7,6932885.1,3648429,395480,284313,0.037277018,0.003106089,1.77,10646506,-5.31,0.572481704
1225,福懋油,2018,M1200,12252018,0,0,0,0,0,218703,3601285,6426121,300502,61.56,13463356.68,3601285,300502,251508,0.036849528,0.002793256,-0.31,11243509,4.52,0.257853979
1225,福懋油,2017,M1200,12252017,0,0,0,0,0,218703,3637558,7017020,320546,68.64,15011773.92,3637558,320546,273378,0.036871568,0.002668696,-2.62,10757313,-1.48,0.308980311
1227,佳格,2022,M1200,12272022,0,0,0,0,0,915090,17853740,27929413,1317280,40.24,36823221.6,17853740,1317280,1180465,0.129332499,0.005930892,-4.46,28922800,-15.69,0.505580853
1227,佳格,2021,M1200,12272021,0,0,0,0,0,915090,18477217,28289140,2564015,43.13,39467831.7,18477217,2564015,1738670,0.118174303,0.005184824,-2.66,34307044,-0.46,0.411907256
1227,佳格,2020,M1200,12272020,0,0,0,0,0,915090,18015627,27823862,3257860,47.84,43777905.6,18015627,3257860,2287723,0.122788778,0.004817322,-0.66,34466244,10.23,0.363233826
1227,佳格,2019,M1200,12272019,0,0,0,0,0,915090,16950691,25488265,3488852,53.52,48975616.8,16950691,3488852,2424987,0.12688315,0.004745823,2.25,31266232,14.36,0.313267772
1227,佳格,2018,M1200,12272018,0,0,0,0,0,915090,16040325,23997656,2602819,49.47,45269502.3,16040325,2602819,2287723,0.146668577,0.006137176,3.51,27340587,3.26,0.432700215
1227,佳格,2017,M1200,12272017,0,0,0,0,0,915090,15023608,22709488,2278310,48.62,44491675.8,15023608,2278310,1830179,0.138751966,0.003649682,-1.74,26477924,-2.2,0.281557689
1229,聯華,2022,M1200,12292022,0,0,0,0,0,1480130,53432123,69909548,4840308,62.17,92019682.1,53432123,4840308,2960260,0.051317075,0.00386586,0.24,12326365,8.86,0.785799192
1229,聯華,2021,M1200,12292021,0,0,0,0,0,1409648,56423056,71670249,4744160,49,69072752,56423056,4744160,3242190,0.054660264,0.004220771,2.3,11322814,18.64,0.761246561
1229,聯華,2020,M1200,12292020,0,0,0,0,0,1281498,44450094,55988518,3497207,38.61,49478637.78,44450094,3497207,3460044,0.056796611,0.004164326,0.75,9544161,15.39,1.089385755
1229,聯華,2019,M1200,12292019,0,0,0,0,0,1104740,37630191,46544943,2606996,26.45,29220373,37630191,2606996,3535166,0.062415876,0.004977698,2.58,8271293,62.25,1.480977661
1229,聯華,2018,M1200,12292018,0,0,0,0,0,1052133,24620602,30389304,2474643,21.18,22284176.94,24620602,2474643,2209479,0.058745526,0.007554801,-1.62,5097818,6.2,1.393725767
1229,聯華,2017,M1200,12292017,0,0,0,0,0,956485,25285915,29653231,2735161,18.58,17771491.3,25285915,2735161,2678156,0.060644601,0.006997606,3.11,4800213,-8.1,1.467867305
1231,聯華食,2022,M1200,12312022,0,0,0,0,0,224233,5171248,10518025,958044,84.44,18934234.52,5171248,958044,583006,0.083996985,0.008928751,0.59,10772839,13.19,0.345135289
1231,聯華食,2021,M1200,12312021,0,0,0,0,0,201762,4568168,9208709,778335,70.09,14141498.58,4568168,778335,524581,0.092175978,0.009327486,1.42,9517892,7.95,0.412561398
1231,聯華食,2020,M1200,12312020,0,0,0,0,0,183325,4065573,8822575,610730,45.37,8317455.25,4065573,610730,476645,0.091790352,0.009364069,1.68,8817321,2.66,0.671822501
1231,聯華食,2019,M1200,12312019,0,0,0,0,0,174595,3654089,7466043,531956,28.31,4942784.45,3654089,531956,366649,0.107980728,0.010034692,0.74,8588903,5.82,0.772856135
1231,聯華食,2018,M1200,12312018,0,0,0,0,0,166281,3437917,7003241,552027,27.59,4587692.79,3437917,552027,382446,0.101935966,0.011379372,2.06,8116880,15.44,0.951465474
1231,聯華食,2017,M1200,12312017,0,0,0,0,0,159886,3127240,6483870,380721,20.34,3252081.24,3127240,380721,287794,0.101629877,0.012168073,-1.09,7031023,4.67,1.052134799
