代號,名稱,年月,Key6,PRC,PrePRC,PRC_YE,常續性EPS,Pre常續性EPS,NEG,PreNEG,Key,PRC_YE,Year,Industry,dNEG,dEPSS,EPSS,Annret,RPA,RPA_Ctd,LN_RPA_Count,RPA_Count,Finance,KY
1216,統一,19-Jun,12162019,68.48,59.62,57.8,2.99,-0.94,0,1,12162018,57.8,2018,M1200,-1,0.06799308,0.051730104,0.14860785,0,0,0,0,0,0
1216,統一,18-Jun,12162018,59.62,45.31,50.84,-0.94,2.07,1,0,12162017,50.84,2017,M1200,1,-0.05920535,-0.018489378,0.315824321,0,0,0,0,0,0
1217,愛之味,23-Jun,12172023,12.8,9.82,10.34,0.24,0.39,0,0,12172022,10.34,2022,M1200,0,-0.01450677,0.023210832,0.303462322,0,0,0,0,0,0
1217,愛之味,22-Jun,12172022,9.82,10.94,10.19,0.39,0.42,0,0,12172021,10.19,2021,M1200,0,-0.002944063,0.038272816,-0.1023766,0,0,0,0,0,0
1217,愛之味,21-Jun,12172021,10.94,7.16,9.36,0.42,0.01,0,0,12172020,9.36,2020,M1200,0,0.043803419,0.044871795,0.527932961,0,0,0,0,0,0
1217,愛之味,20-Jun,12172020,7.16,6.7,6.68,0.01,-0.1,0,1,12172019,6.68,2019,M1200,-1,0.016467066,0.001497006,0.068656716,0,0,0,0,0,0
1217,愛之味,19-Jun,12172019,6.7,7.36,6.43,-0.1,-0.11,1,1,12172018,6.43,2018,M1200,0,0.00155521,-0.0155521,-0.089673913,0,0,0,0,0,0
1217,愛之味,18-Jun,12172018,7.36,7.11,7.04,-0.11,-0.35,1,1,12172017,7.04,2017,M1200,0,0.034090909,-0.015625,0.035161744,0,0,0,0,0,0
1218,泰山,23-Jun,12182023,27.53,29.88,31.89,-0.59,1.19,1,0,12182022,31.89,2022,M1200,1,-0.05581687,-0.018501098,-0.078647925,0,0,0,0,0,0
1218,泰山,22-Jun,12182022,29.88,26.6,25.84,1.19,1.71,0,0,12182021,25.84,2021,M1200,0,-0.020123839,0.046052632,0.123308271,0,0,0,0,0,0
