代號,名稱,Year,Industry,Key,RPA,LN_RPA_Count,RPA_Count,Finance,KY,OS,Equity,TA,NI,Price,MBV,EARNBV
1268,漢來美食,2018,M2700,12682018,0,0,0,0,0,37371,1497165,2776619,235248,116.15,2.899240665,0.157128974
1268,漢來美食,2017,M2700,12682017,0,0,0,0,0,37991,1907083,3213208,248800,94.4,1.880542378,0.130461023
1301,台塑,2022,M1300,13012022,0,0,0,0,0,6365741,357684863,511254407,35919340,85.7,1.525208529,0.10042175
1301,台塑,2021,M1300,13012021,0,0,0,0,0,6365741,403190274,543678922,71433319,95.65,1.51016323,0.177170243
1301,台塑,2020,M1300,13012020,0,0,0,0,0,6365741,332536140,479280423,20182869,88.66,1.697218826,0.060693761
1301,台塑,2019,M1300,13012019,0,0,0,0,0,6365741,349153320,497087959,37265946,71.62,1.30577126,0.106732326
1301,台塑,2018,M1300,13012018,0,0,0,0,0,6365741,355568001,501513267,50125825,88.89,1.591399439,0.140973948
1301,台塑,2017,M1300,13012017,0,0,0,0,0,6365741,345010166,476071036,49958153,82.89,1.529393402,0.144801974
1303,南亞,2022,M1300,13032022,0,0,0,0,0,7930822,394101430,665316156,37659764,72.5,1.45897617,0.095558557
1303,南亞,2021,M1300,13032021,1,0.693147181,1,0,0,7930822,428740770,668695386,85115251,72.31,1.337586203,0.19852381
1303,南亞,2020,M1300,13032020,0,0,0,0,0,7930822,356586478,584712347,27075070,70.46,1.567097331,0.075928482
1303,南亞,2019,M1300,13032019,0,0,0,0,0,7930822,355570700,554678679,22874076,52.91,1.180130399,0.064330599
1303,南亞,2018,M1300,13032018,0,0,0,0,0,7930822,386904992,570249344,52566367,60.27,1.235421232,0.13586376
1303,南亞,2017,M1300,13032017,0,0,0,0,0,7930822,367219759,544071389,53939540,62.97,1.359959123,0.146886268
1304,台聚,2022,M1300,13042022,0,0,0,0,0,1188764,50924885,77741569,55390,22.39,0.522660502,0.00108768
1304,台聚,2020,M1300,13042020,1,0.693147181,1,0,0,1188764,48723643,77324516,5344689,31.82,0.776347337,0.109693953
