Key,Year,Trade,Industry,Adopt,Adopt_Ind,RPA_Ctd,Big4,Fin,INST,SG,Cycle,CL,Zscore,INSTt,MS,LGTA,BM.x,LEV,OCF,MTB,Age,ESG,RD,ADV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12182020,2020,TSE,M1200,0,0,0,1,0,0.468,0.04254855,61.74,0.148831879,5.42314258,0.5605,0.011408298,16.03908112,0.528692937,0.239025937,0.044302734,1.891457082,4.143134726,59.58,0,0.109414112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12182021,2021,TSE,M1200,0,0,0,1,0,0.5605,0.159764355,55.93,0.222020748,3.8028652,0.5994,0.012427899,16.179969,0.467947857,0.342832711,-0.025713847,2.136990233,4.143134726,58.22,0,0.09609423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12182022,2022,TSE,M1200,0,0,0,1,0,0.5994,0.101582555,50.59,0.231562276,5.449999195,0.6124,0.012613404,16.62819725,0.913031902,0.245382298,-0.025872786,1.095251982,4.143134726,62.88,0,0.101358334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12192017,2017,TSE,M1200,0,0,0,0,0,0.2749,-0.013190132,84.91,0.244827836,2.478910982,0.2904,0.01648177,15.95107094,0.800736613,0.533472185,-0.036941488,1.248850101,4.219507705,66.75,0.003358839,0.051892359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12192018,2018,TSE,M1200,0,0,0,0,0,0.2904,0.075764066,84.95,0.273849757,2.434963722,0.3159,0.016883594,15.95740176,0.784925767,0.551803194,0.038607123,1.274005826,4.219507705,66.35,0.003559356,0.050260018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12192019,2019,TSE,M1200,0,0,0,0,0,0.3159,0.044804521,78.98,0.301828875,2.522384359,0.3223,0.016888776,16.00577441,0.684598947,0.557006037,-0.012483146,1.460709229,4.219507705,66.49,0.003226379,0.051933911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12192020,2020,TSE,M1200,0,0,0,0,0,0.3223,0.005266969,78.96,0.234802246,3.234946941,0.3223,0.016825711,15.96144921,0.670496716,0.480306285,0.096248881,1.491431615,4.219507705,70.08,0.002910542,0.052655413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12192021,2021,TSE,M1200,0,0,0,0,0,0.3223,0.166090616,84.48,0.289168591,3.071489109,0.2472,0.018468539,16.02928575,0.75023518,0.511029328,-0.011525547,1.332915367,4.219507705,69.91,0.002435789,0.048361834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12192022,2022,TSE,M1200,0,0,0,0,0,0.2472,0.130629608,74.6,0.384809783,2.80004944,0.1443,0.019370483,16.14527249,0.67561262,0.568506821,-0.023942983,1.48013813,4.219507705,69.08,0.003326881,0.044879328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12202017,2017,TSE,M1200,0,0,0,0,0,0.3736,-0.210050684,152.03,0.144877478,3.442499511,0.3356,0.003604047,14.92324875,1.42143313,0.211839262,0.032277094,0.703515332,3.988984047,46,0,0.040557254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
